Arm	# Genes	Amp frequency	Amp z-score	Amp q-value	Del Frequency	Del z-score	Del q-value
1p	1300	0.07	-5.71	1	0.27	6.67	4.43e-11
1q	1195	0.20	1.64	0.121	0.18	0.873	0.436
2p	624	0.20	1.76	0.1	0.04	-8.01	1
2q	967	0.20	2.05	0.0624	0.03	-8.43	1
3p	644	0.13	-2.64	1	0.13	-2.73	1
3q	733	0.17	-0.404	1	0.09	-4.81	1
4p	289	0.04	-7.36	1	0.33	9.86	0
4q	670	0.04	-7.15	1	0.32	9.64	0
5p	183	0.18	0.148	0.822	0.19	0.334	0.688
5q	905	0.12	-3.3	1	0.23	3.89	0.000159
6p	710	0.21	1.99	0.064	0.11	-4.02	1
6q	556	0.20	1.28	0.213	0.14	-1.94	1
7p	389	0.57	25.2	0	0.02	-6.84	1
7q	783	0.51	21.9	0	0.02	-6.95	1
8p	338	0.34	7.91	7.15e-15	0.54	20.9	0
8q	551	0.52	21	0	0.20	1.37	0.249
9p	301	0.22	2.52	0.0218	0.16	-0.843	1
9q	700	0.19	0.951	0.334	0.15	-1.24	1
10p	253	0.09	-5.38	1	0.19	0.369	0.688
10q	738	0.05	-7.22	1	0.19	1.24	0.265
11p	509	0.15	-1.57	1	0.15	-1.76	1
11q	975	0.14	-1.74	1	0.18	0.373	0.688
12p	339	0.23	3.16	0.00327	0.15	-1.62	1
12q	904	0.20	2.03	0.0624	0.15	-1.51	1
13q	560	0.62	28.6	0	0.08	-4.05	1
14q	938	0.11	-3.56	1	0.36	12	0
15q	810	0.04	-6.97	1	0.38	13.6	0
16p	559	0.25	4.93	2.16e-06	0.09	-4.93	1
16q	455	0.25	4.51	1.46e-05	0.10	-4.45	1
17p	415	0.08	-4.05	1	0.60	27	0
17q	972	0.21	2.26	0.0409	0.19	1.3	0.263
18p	104	0.11	-2.84	1	0.65	29.9	0
18q	275	0.07	-3.94	1	0.69	32.3	0
19p	681	0.17	-0.372	1	0.14	-1.8	1
19q	935	0.19	1.35	0.203	0.12	-2.98	1
20p	234	0.61	25.5	0	0.35	7.55	8.15e-14
20q	448	0.75	36.2	0	0.19	0.599	0.592
21q	258	0.08	-5.32	1	0.33	9.55	0
22q	564	0.05	-6.53	1	0.34	10.7	0
Xp	418	0.17	-0.559	1	0.20	1.23	0.265
Xq	668	0.20	1.26	0.213	0.16	-0.637	1
