"var","hr","pval","hr_ci95"
"msiMSS",1.4,"5.02e-01","0.5 to 4"
"msiX",1.2,"7.77e-01","0.4 to 3.1"
"age.cat>=65",1.3,"2.04e-01","0.9 to 2.1"
"gendermale",1,"8.68e-01","0.6 to 1.5"
"tnm_stageII",1.3,"4.80e-01","0.6 to 3"
"tnm_stageIII",2.4,"2.79e-02","1.1 to 5.2"
"tnm_stageIV",3.6,"7.52e-03","1.4 to 9.4"
"TMB.cathigh",0.7,"2.00e-01","0.5 to 1.2"
"PDL1.catmed",0.8,"2.95e-01","0.4 to 1.3"
"PDL1.cathigh",1,"9.81e-01","0.5 to 1.8"
"cyt.catmed",0.7,"2.18e-01","0.4 to 1.2"
"cyt.cathigh",0.8,"5.32e-01","0.4 to 1.6"
"age.cat>=65",1.3,"1.90e-01","0.9 to 2.1"
"gendermale",0.9,"6.85e-01","0.6 to 1.4"
"tnm_stageII",1.3,"5.24e-01","0.6 to 2.9"
"tnm_stageIII",2.4,"2.65e-02","1.1 to 5.3"
"tnm_stageIV",3.8,"5.73e-03","1.5 to 10"
"TMB.cathigh",0.7,"1.00e-01","0.4 to 1.1"
"PDL1.catmed",0.9,"6.55e-01","0.5 to 1.6"
"PDL1.cathigh",1.1,"8.33e-01","0.5 to 2.2"
"cyt.bool1",0.8,"6.31e-01","0.4 to 1.8"
"age.cat>=65",1.2,"5.21e-01","0.7 to 2.3"
"gendermale",0.7,"3.12e-01","0.4 to 1.4"
"tnm_stageII",0.8,"7.34e-01","0.3 to 2.3"
"tnm_stageIII",2,"1.74e-01","0.7 to 5.2"
"tnm_stageIV",2.5,"2.67e-01","0.5 to 11.9"
"TMB.cathigh",0.7,"1.88e-01","0.3 to 1.2"
"PDL1.catmed",0.9,"7.79e-01","0.4 to 2"
"PDL1.cathigh",1,"9.59e-01","0.4 to 2.6"
"TMB.cathigh",0.7,"1.09e-01","0.4 to 1.1"
"age.cat>=65",1.4,"1.83e-01","0.9 to 2.1"
"gendermale",1,"9.45e-01","0.6 to 1.5"
"tnm_stageII",1.3,"4.99e-01","0.6 to 3"
"tnm_stageIII",2.4,"2.57e-02","1.1 to 5.3"
