"strata","n","n_event","medsurv","medsurv_ci95","survprobObs_0.5yr","survprobObs_1yr","survprobObs_2yr","survprobObs_5yr"
"silent.cat=high",70,34,4,"2.6 to NA","0.90 (0.83 to 0.97)","0.75 (0.65 to 0.86)","0.63 (0.53 to 0.76)","0.41 (0.28 to 0.6)"
"silent.cat=low",72,25,12.8,"4.4 to NA","0.96 (0.91 to 1)","0.87 (0.79 to 0.95)","0.70 (0.6 to 0.83)","0.55 (0.41 to 0.75)"
"silent.cat=med",137,81,2.7,"1.9 to 5.5","0.92 (0.88 to 0.97)","0.80 (0.74 to 0.87)","0.58 (0.5 to 0.67)","0.42 (0.33 to 0.52)"
"missense.cat=high",71,37,3.8,"2.3 to NA","0.87 (0.79 to 0.95)","0.76 (0.67 to 0.87)","0.62 (0.52 to 0.75)","0.39 (0.26 to 0.57)"
"missense.cat=low",70,23,17.6,"4.8 to NA","0.94 (0.89 to 1)","0.82 (0.73 to 0.92)","0.72 (0.61 to 0.84)","0.57 (0.43 to 0.77)"
"missense.cat=med",138,80,2.7,"1.9 to 5.7","0.94 (0.9 to 0.98)","0.82 (0.75 to 0.88)","0.58 (0.5 to 0.67)","0.42 (0.34 to 0.53)"
"nonsense.cat=high",80,39,4.7,"2.2 to NA","0.86 (0.79 to 0.94)","0.75 (0.66 to 0.86)","0.61 (0.51 to 0.73)","0.45 (0.33 to 0.62)"
"nonsense.cat=low",79,30,8.4,"4.4 to NA","0.91 (0.85 to 0.98)","0.82 (0.74 to 0.91)","0.67 (0.56 to 0.79)","0.55 (0.41 to 0.73)"
"nonsense.cat=med",120,71,2.7,"2.2 to 5.4","0.98 (0.95 to 1)","0.83 (0.77 to 0.9)","0.60 (0.52 to 0.7)","0.39 (0.3 to 0.5)"
"frameshift.cat=high",72,41,3.1,"2.2 to 7","0.92 (0.85 to 0.98)","0.80 (0.71 to 0.9)","0.62 (0.52 to 0.75)","0.36 (0.25 to 0.53)"
"frameshift.cat=low",95,35,5.7,"4.7 to NA","0.95 (0.9 to 0.99)","0.83 (0.75 to 0.91)","0.70 (0.61 to 0.81)","0.55 (0.42 to 0.71)"
"frameshift.cat=med",112,64,2.7,"1.6 to 5.5","0.91 (0.86 to 0.96)","0.79 (0.71 to 0.87)","0.55 (0.47 to 0.66)","0.41 (0.32 to 0.54)"
"total.cat=high",70,38,3.5,"2 to NA","0.87 (0.79 to 0.95)","0.73 (0.63 to 0.85)","0.60 (0.49 to 0.73)","0.33 (0.21 to 0.53)"
"total.cat=low",71,22,17.6,"4.8 to NA","0.94 (0.89 to 1)","0.85 (0.77 to 0.94)","0.75 (0.65 to 0.87)","0.59 (0.44 to 0.77)"
"total.cat=med",138,80,2.7,"1.9 to 5.7","0.94 (0.9 to 0.98)","0.82 (0.75 to 0.88)","0.57 (0.49 to 0.66)","0.44 (0.36 to 0.54)"
"GZMA.cat=high",70,35,3.5,"2 to NA","0.91 (0.85 to 0.98)","0.82 (0.74 to 0.92)","0.60 (0.49 to 0.73)","0.41 (0.29 to 0.59)"
"GZMA.cat=low",70,37,4.4,"1.7 to 7.5","0.93 (0.87 to 0.99)","0.82 (0.74 to 0.92)","0.59 (0.48 to 0.73)","0.43 (0.3 to 0.61)"
"GZMA.cat=med",139,68,4,"2.7 to 9.1","0.93 (0.88 to 0.97)","0.79 (0.72 to 0.86)","0.65 (0.57 to 0.74)","0.48 (0.39 to 0.59)"
"PRF1.cat=high",70,31,5.7,"3.1 to NA","0.93 (0.87 to 0.99)","0.84 (0.75 to 0.93)","0.63 (0.52 to 0.77)","0.53 (0.4 to 0.69)"
"PRF1.cat=low",70,42,2.5,"1.5 to 7.4","0.91 (0.85 to 0.98)","0.77 (0.67 to 0.87)","0.53 (0.42 to 0.67)","0.39 (0.28 to 0.56)"
"PRF1.cat=med",139,67,3.8,"2.7 to 5.9","0.93 (0.88 to 0.97)","0.81 (0.74 to 0.88)","0.66 (0.59 to 0.75)","0.43 (0.33 to 0.56)"
"cyt.cat=high",70,31,4.8,"3 to NA","0.93 (0.87 to 0.99)","0.82 (0.73 to 0.92)","0.64 (0.53 to 0.77)","0.47 (0.34 to 0.65)"
"cyt.cat=low",70,39,2.6,"1.6 to 7.5","0.93 (0.87 to 0.99)","0.78 (0.69 to 0.89)","0.54 (0.43 to 0.68)","0.40 (0.28 to 0.58)"
"cyt.cat=med",139,70,3.8,"2.7 to 6.3","0.92 (0.88 to 0.97)","0.81 (0.74 to 0.88)","0.65 (0.58 to 0.74)","0.46 (0.37 to 0.57)"
"nmdptc_max.cat=high",70,42,3,"1.7 to 7.4","0.89 (0.81 to 0.96)","0.73 (0.63 to 0.84)","0.56 (0.45 to 0.69)","0.40 (0.28 to 0.56)"
"nmdptc_max.cat=low",70,28,5.9,"4.7 to NA","0.93 (0.87 to 0.99)","0.84 (0.75 to 0.93)","0.74 (0.64 to 0.85)","0.56 (0.43 to 0.74)"
"nmdptc_max.cat=med",139,70,2.8,"2.3 to 5.5","0.94 (0.9 to 0.98)","0.83 (0.77 to 0.89)","0.60 (0.52 to 0.69)","0.41 (0.32 to 0.53)"
"nmdptc_n_decayed.cat=high",79,47,3.3,"2.3 to 7","0.87 (0.8 to 0.95)","0.74 (0.65 to 0.85)","0.61 (0.51 to 0.73)","0.41 (0.29 to 0.56)"
"nmdptc_n_decayed.cat=low",91,35,7.5,"4.8 to NA","0.94 (0.9 to 0.99)","0.86 (0.79 to 0.94)","0.75 (0.66 to 0.85)","0.59 (0.47 to 0.73)"
"nmdptc_n_decayed.cat=med",109,58,2.2,"1.6 to 4.7","0.94 (0.9 to 0.99)","0.80 (0.73 to 0.88)","0.52 (0.43 to 0.63)","0.36 (0.26 to 0.5)"
"nmdptc_frac_decayed.cat=high",75,41,3,"1.8 to 6.3","0.91 (0.84 to 0.97)","0.74 (0.65 to 0.85)","0.56 (0.45 to 0.7)","0.38 (0.26 to 0.55)"
"nmdptc_frac_decayed.cat=low",75,28,7.5,"4.8 to NA","0.94 (0.89 to 1)","0.83 (0.74 to 0.92)","0.74 (0.64 to 0.85)","0.59 (0.46 to 0.76)"
"nmdptc_frac_decayed.cat=med",129,71,3.1,"2.2 to 5.9","0.92 (0.88 to 0.97)","0.83 (0.76 to 0.9)","0.59 (0.51 to 0.69)","0.40 (0.31 to 0.52)"
"nmdptc_med.cat=high",70,42,3.1,"1.7 to 6.3","0.91 (0.85 to 0.98)","0.80 (0.71 to 0.9)","0.56 (0.46 to 0.7)","0.41 (0.29 to 0.56)"
"nmdptc_med.cat=low",70,26,5.9,"4.8 to NA","0.94 (0.89 to 1)","0.86 (0.78 to 0.95)","0.76 (0.67 to 0.88)","0.62 (0.48 to 0.78)"
"nmdptc_med.cat=med",139,72,3,"2.2 to 7.9","0.92 (0.88 to 0.97)","0.78 (0.71 to 0.85)","0.59 (0.51 to 0.68)","0.37 (0.27 to 0.51)"
"nmdptc_med.wt.cat=high",70,42,2.3,"1.6 to 5.5","0.94 (0.89 to 1)","0.81 (0.72 to 0.91)","0.52 (0.41 to 0.66)","0.34 (0.23 to 0.51)"
"nmdptc_med.wt.cat=low",70,26,7.5,"4.8 to NA","0.94 (0.89 to 1)","0.86 (0.78 to 0.95)","0.76 (0.66 to 0.88)","0.63 (0.5 to 0.8)"
