"var","hr","pval","hr_ci95"
"cyt.catmed",1.3,"7.49e-01","0.3 to 5.1"
"cyt.cathigh",1.1,"9.40e-01","0.2 to 5.6"
"age.cat>=65",17.2,"3.44e-04","3.6 to 81.6"
"gendermale",1,"9.75e-01","0.3 to 3.7"
"tnm_stageII",1.8,"5.87e-01","0.2 to 16.4"
"tnm_stageIII",1.8,"5.62e-01","0.3 to 11.7"
"tnm_stageIV",6.6,"4.90e-02","1 to 43.8"
"TMB.cathigh",0.7,"6.05e-01","0.2 to 2.7"
"PDL1.catmed",1.1,"8.88e-01","0.3 to 4.8"
"PDL1.cathigh",0.4,"5.03e-01","0 to 4.9"
"cyt.bool1",1.3,"7.83e-01","0.2 to 10.4"
"age.cat>=65",9.8,"4.91e-02","1 to 95.9"
"gendermale",1.4,"7.40e-01","0.2 to 9.4"
"tnm_stageII",0.6,"7.41e-01","0 to 10.4"
"tnm_stageIII",0.7,"8.21e-01","0 to 11.2"
"tnm_stageIV",5.4,"1.40e-01","0.6 to 50.2"
"TMB.cathigh",0.7,"7.50e-01","0.1 to 5.1"
"PDL1.catmed",0.5,"6.09e-01","0.1 to 5.5"
"PDL1.cathigh",0.4,"5.28e-01","0 to 8.1"
"TMB.cathigh",0.7,"6.26e-01","0.2 to 2.6"
"age.cat>=65",16,"2.37e-04","3.6 to 70.2"
"gendermale",1.1,"9.15e-01","0.3 to 3.7"
"tnm_stageII",1.9,"5.61e-01","0.2 to 16.6"
"tnm_stageIII",1.7,"5.77e-01","0.3 to 11.4"
"tnm_stageIV",6.8,"4.30e-02","1.1 to 43.8"
"PDL1.catmed",1.2,"7.72e-01","0.3 to 4.8"
"PDL1.cathigh",0.5,"5.13e-01","0 to 4.7"
"PDL1.cat0positive",154735.9,"9.99e-01","0 to Inf"
"age.cat>=65",16,"2.40e-04","3.6 to 70.2"
"gendermale",1.1,"9.15e-01","0.3 to 3.7"
"tnm_stageII",1.9,"5.61e-01","0.2 to 16.6"
"tnm_stageIII",1.7,"5.76e-01","0.3 to 11.4"
"tnm_stageIV",6.8,"4.30e-02","1.1 to 43.7"
"TMB.cathigh",0.7,"6.26e-01","0.2 to 2.6"
"PDL1.catmed",1.2,"7.74e-01","0.3 to 4.8"
"PDL1.cathigh",0.5,"5.13e-01","0 to 4.7"
"PDL1.catmed",1.2,"7.72e-01","0.3 to 4.8"
"PDL1.cathigh",0.5,"5.13e-01","0 to 4.7"
"age.cat>=65",16,"2.37e-04","3.6 to 70.2"
"gendermale",1.1,"9.15e-01","0.3 to 3.7"
"tnm_stageII",1.9,"5.61e-01","0.2 to 16.6"
"tnm_stageIII",1.7,"5.77e-01","0.3 to 11.4"
"tnm_stageIV",6.8,"4.30e-02","1.1 to 43.8"
"TMB.cathigh",0.7,"6.26e-01","0.2 to 2.6"
"nmdptc_mut.bool1",2,"5.26e-01","0.2 to 15.6"
"age.cat>=65",15.9,"2.21e-04","3.7 to 68.7"
"gendermale",1.1,"8.74e-01","0.3 to 3.9"
"tnm_stageII",1.9,"5.54e-01","0.2 to 16.8"
"tnm_stageIII",1.7,"5.91e-01","0.3 to 11.1"
"tnm_stageIV",6.8,"4.08e-02","1.1 to 42.6"
"TMB.cathigh",0.7,"5.79e-01","0.2 to 2.5"
"PDL1.catmed",1.3,"6.97e-01","0.3 to 5.2"
"PDL1.cathigh",0.5,"5.28e-01","0 to 4.8"
"nmdfs_mut.bool1",1.5,"5.93e-01","0.4 to 5.7"
"age.cat>=65",16.8,"2.25e-04","3.8 to 75.1"
"gendermale",1,"9.75e-01","0.3 to 3.6"
"tnm_stageII",1.8,"5.85e-01","0.2 to 16.2"
"tnm_stageIII",1.5,"6.69e-01","0.2 to 10.8"
"tnm_stageIV",6.9,"4.16e-02","1.1 to 44.2"
"TMB.cathigh",0.8,"6.66e-01","0.2 to 2.7"
"PDL1.catmed",1.5,"6.22e-01","0.3 to 6.8"
"PDL1.cathigh",0.5,"5.83e-01","0 to 5.5"
"nmdns_mut.bool1",1.1,"8.56e-01","0.3 to 4.2"
"age.cat>=65",16.1,"2.26e-04","3.7 to 70.7"
"gendermale",1.1,"8.87e-01","0.3 to 3.9"
"tnm_stageII",2,"5.41e-01","0.2 to 18.1"
"tnm_stageIII",1.7,"5.74e-01","0.3 to 11.3"
"tnm_stageIV",6.8,"4.32e-02","1.1 to 43.2"
"TMB.cathigh",0.7,"6.02e-01","0.2 to 2.7"
"PDL1.catmed",1.2,"7.64e-01","0.3 to 4.8"
"PDL1.cathigh",0.5,"5.09e-01","0 to 4.7"
"silent",1,"6.12e-01","0.9 to 1.1"
"age.cat>=65",18.4,"3.10e-04","3.8 to 89.6"
"gendermale",0.9,"9.14e-01","0.2 to 3.7"
"tnm_stageII",1.8,"5.90e-01","0.2 to 16.1"
"tnm_stageIII",1.6,"6.42e-01","0.2 to 10.8"
"tnm_stageIV",8.3,"3.71e-02","1.1 to 61"
"TMB.cathigh",0.8,"7.84e-01","0.2 to 3.1"
"PDL1.catmed",1.4,"6.51e-01","0.3 to 6.1"
"PDL1.cathigh",0.5,"5.68e-01","0 to 5.3"
"missense",1,"1.81e-01","0.9 to 1"
"age.cat>=65",26,"1.17e-04","5 to 136.7"
"gendermale",0.8,"7.15e-01","0.2 to 3"
"tnm_stageII",1.6,"6.73e-01","0.2 to 14.3"
"tnm_stageIII",1.2,"8.85e-01","0.2 to 8.4"
"tnm_stageIV",10.4,"1.68e-02","1.5 to 71.2"
"TMB.cathigh",1.2,"7.79e-01","0.3 to 5.1"
"PDL1.catmed",2.2,"3.44e-01","0.4 to 10.7"
"PDL1.cathigh",0.6,"6.77e-01","0.1 to 6.6"
"nonstop",0,"9.99e-01","0 to Inf"
"age.cat>=65",15.9,"2.36e-04","3.6 to 69.6"
"gendermale",1.1,"9.30e-01","0.3 to 3.7"
"tnm_stageII",1.9,"5.70e-01","0.2 to 16.4"
"tnm_stageIII",1.8,"5.59e-01","0.3 to 11.7"
"tnm_stageIV",6.8,"4.34e-02","1.1 to 43.5"
"TMB.cathigh",0.7,"6.38e-01","0.2 to 2.6"
"PDL1.catmed",1.2,"8.07e-01","0.3 to 4.7"
"PDL1.cathigh",0.4,"4.97e-01","0 to 4.6"
"nonsense",1.1,"6.22e-01","0.7 to 1.9"
"age.cat>=65",15.2,"3.42e-04","3.4 to 67.2"
"gendermale",1.1,"8.34e-01","0.3 to 4.1"
"tnm_stageII",2,"5.27e-01","0.2 to 17.6"
"tnm_stageIII",1.8,"5.37e-01","0.3 to 12.1"
"tnm_stageIV",6.5,"4.95e-02","1 to 41.9"
"TMB.cathigh",0.6,"5.21e-01","0.2 to 2.5"
"PDL1.catmed",1.1,"9.11e-01","0.3 to 4.5"
"PDL1.cathigh",0.4,"4.86e-01","0 to 4.5"
"frameshift",2.1,"1.39e-02","1.2 to 3.8"
"age.cat>=65",18.3,"2.20e-04","3.9 to 85.2"
