"strata","n","n_event","medsurv","medsurv_ci95","survprobObs_0.5yr","survprobObs_1yr","survprobObs_2yr","survprobObs_5yr"
"silent.cat=high",250,34,NA,"10.8 to NA","1.00 (0.99 to 1)","0.97 (0.95 to 0.99)","0.94 (0.9 to 0.97)","0.75 (0.67 to 0.85)"
"silent.cat=low",283,40,10.2,"9.5 to NA","1.00 (0.99 to 1)","1.00 (0.99 to 1)","0.99 (0.97 to 1)","0.86 (0.81 to 0.92)"
"silent.cat=med",440,64,10.8,"9.5 to NA","1.00 (0.99 to 1)","0.98 (0.97 to 0.99)","0.95 (0.93 to 0.98)","0.81 (0.76 to 0.87)"
"missense.cat=high",246,27,NA,"9.5 to NA","1.00 (0.99 to 1)","0.97 (0.95 to 0.99)","0.95 (0.91 to 0.98)","0.80 (0.72 to 0.89)"
"missense.cat=low",270,37,10.6,"9.5 to NA","1.00 (1 to 1)","1.00 (0.99 to 1)","0.99 (0.98 to 1)","0.87 (0.81 to 0.93)"
"missense.cat=med",457,74,10.8,"9.3 to NA","1.00 (0.99 to 1)","0.98 (0.97 to 0.99)","0.95 (0.92 to 0.97)","0.79 (0.74 to 0.85)"
"nonsense.cat=high",282,37,NA,"10.8 to NA","1.00 (0.99 to 1)","0.98 (0.96 to 1)","0.94 (0.91 to 0.97)","0.77 (0.7 to 0.86)"
"nonsense.cat=low",365,55,10.8,"10.2 to NA","0.99 (0.99 to 1)","0.98 (0.97 to 1)","0.97 (0.96 to 0.99)","0.81 (0.75 to 0.87)"
"nonsense.cat=med",326,46,9.5,"9.5 to NA","1.00 (1 to 1)","0.99 (0.97 to 1)","0.96 (0.93 to 0.98)","0.86 (0.81 to 0.91)"
"frameshift.cat=high",254,32,10.8,"9.3 to NA","0.99 (0.98 to 1)","0.96 (0.94 to 0.99)","0.94 (0.91 to 0.98)","0.85 (0.79 to 0.92)"
"frameshift.cat=low",279,50,10.2,"9.4 to NA","1.00 (0.99 to 1)","0.98 (0.97 to 1)","0.94 (0.92 to 0.97)","0.81 (0.75 to 0.88)"
"frameshift.cat=med",440,56,10.8,"9.5 to NA","1.00 (1 to 1)","1.00 (0.99 to 1)","0.98 (0.96 to 0.99)","0.80 (0.74 to 0.86)"
"total.cat=high",249,28,NA,"NA to NA","1.00 (0.99 to 1)","0.98 (0.96 to 1)","0.95 (0.91 to 0.98)","0.77 (0.68 to 0.86)"
"total.cat=low",257,32,10.2,"9.5 to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.99 (0.98 to 1)","0.87 (0.81 to 0.93)"
"total.cat=med",467,78,10.6,"8.1 to 20.4","1.00 (0.99 to 1)","0.98 (0.96 to 0.99)","0.95 (0.92 to 0.97)","0.80 (0.75 to 0.86)"
"GZMA.cat=high",244,30,10.8,"9.5 to NA","1.00 (1 to 1)","0.99 (0.97 to 1)","0.96 (0.93 to 0.99)","0.86 (0.79 to 0.92)"
"GZMA.cat=low",243,43,10.8,"8 to NA","0.99 (0.98 to 1)","0.98 (0.96 to 1)","0.96 (0.93 to 0.99)","0.81 (0.73 to 0.88)"
"GZMA.cat=med",486,65,10.8,"9.3 to NA","1.00 (0.99 to 1)","0.98 (0.97 to 0.99)","0.96 (0.94 to 0.98)","0.80 (0.74 to 0.85)"
"PRF1.cat=high",244,30,9.6,"9.4 to NA","1.00 (1 to 1)","0.99 (0.97 to 1)","0.96 (0.94 to 0.99)","0.84 (0.77 to 0.91)"
"PRF1.cat=low",243,46,10.2,"7.8 to NA","0.99 (0.98 to 1)","0.98 (0.96 to 1)","0.95 (0.92 to 0.98)","0.81 (0.75 to 0.89)"
"PRF1.cat=med",486,62,11.7,"10.6 to NA","1.00 (0.99 to 1)","0.98 (0.97 to 1)","0.96 (0.94 to 0.98)","0.80 (0.75 to 0.86)"
"cyt.cat=high",244,30,10.8,"9.5 to NA","1.00 (1 to 1)","0.99 (0.97 to 1)","0.96 (0.93 to 0.99)","0.85 (0.79 to 0.92)"
"cyt.cat=low",243,47,10.8,"7.8 to NA","0.99 (0.98 to 1)","0.98 (0.96 to 1)","0.96 (0.93 to 0.99)","0.81 (0.74 to 0.88)"
"cyt.cat=med",486,61,10.8,"9.3 to NA","1.00 (0.99 to 1)","0.98 (0.97 to 0.99)","0.96 (0.94 to 0.98)","0.80 (0.75 to 0.86)"
"nmdptc_max.cat=high",244,34,20.4,"9.4 to NA","0.99 (0.98 to 1)","0.97 (0.94 to 0.99)","0.95 (0.92 to 0.98)","0.78 (0.7 to 0.87)"
"nmdptc_max.cat=low",244,42,9.5,"8.1 to NA","1.00 (1 to 1)","0.98 (0.97 to 1)","0.98 (0.97 to 1)","0.83 (0.77 to 0.9)"
"nmdptc_max.cat=med",485,62,10.8,"10.2 to NA","1.00 (0.99 to 1)","0.99 (0.98 to 1)","0.95 (0.93 to 0.98)","0.82 (0.77 to 0.88)"
"nmdptc_n_decayed.cat=high",260,35,20.4,"9.3 to NA","0.99 (0.97 to 1)","0.97 (0.94 to 0.99)","0.94 (0.91 to 0.97)","0.78 (0.7 to 0.86)"
"nmdptc_n_decayed.cat=low",418,60,10.8,"9.5 to NA","1.00 (1 to 1)","0.99 (0.98 to 1)","0.97 (0.96 to 0.99)","0.86 (0.82 to 0.91)"
"nmdptc_n_decayed.cat=med",295,43,10.8,"9.5 to NA","1.00 (1 to 1)","0.99 (0.97 to 1)","0.95 (0.92 to 0.98)","0.76 (0.69 to 0.85)"
"nmdptc_frac_decayed.cat=high",342,53,10.8,"10.2 to NA","1.00 (0.99 to 1)","0.98 (0.97 to 1)","0.96 (0.94 to 0.98)","0.79 (0.73 to 0.86)"
"nmdptc_frac_decayed.cat=low",250,37,9.6,"8.6 to NA","1.00 (1 to 1)","0.99 (0.98 to 1)","0.99 (0.97 to 1)","0.86 (0.8 to 0.93)"
"nmdptc_frac_decayed.cat=med",381,48,NA,"9.3 to NA","0.99 (0.99 to 1)","0.98 (0.96 to 0.99)","0.94 (0.91 to 0.97)","0.80 (0.73 to 0.87)"
"nmdptc_med.cat=high",244,38,10.8,"9.4 to NA","1.00 (0.99 to 1)","0.98 (0.96 to 1)","0.96 (0.93 to 0.99)","0.79 (0.72 to 0.87)"
"nmdptc_med.cat=low",244,38,9.5,"8.1 to NA","1.00 (1 to 1)","0.99 (0.97 to 1)","0.97 (0.95 to 0.99)","0.83 (0.76 to 0.9)"
"nmdptc_med.cat=med",485,62,10.8,"10.2 to NA","1.00 (0.99 to 1)","0.98 (0.97 to 0.99)","0.95 (0.93 to 0.98)","0.82 (0.77 to 0.87)"
"nmdptc_med.wt.cat=high",244,36,10.8,"10.2 to NA","1.00 (0.99 to 1)","0.99 (0.97 to 1)","0.96 (0.93 to 0.99)","0.80 (0.73 to 0.88)"
"nmdptc_med.wt.cat=low",244,35,9.5,"8.6 to NA","1.00 (1 to 1)","0.99 (0.97 to 1)","0.97 (0.94 to 0.99)","0.85 (0.79 to 0.92)"
"nmdptc_med.wt.cat=med",485,67,10.8,"9.5 to NA","1.00 (0.99 to 1)","0.98 (0.97 to 0.99)","0.96 (0.94 to 0.98)","0.80 (0.75 to 0.86)"
"nmdptc_mean.cat=high",244,37,11.7,"9.4 to NA","1.00 (0.99 to 1)","0.98 (0.96 to 1)","0.96 (0.93 to 0.99)","0.78 (0.71 to 0.86)"
"nmdptc_mean.cat=low",244,35,9.6,"9.5 to NA","1.00 (0.99 to 1)","0.98 (0.97 to 1)","0.97 (0.95 to 0.99)","0.82 (0.75 to 0.9)"
"nmdptc_mean.cat=med",485,66,10.8,"9.5 to NA","1.00 (0.99 to 1)","0.98 (0.97 to 1)","0.95 (0.93 to 0.98)","0.83 (0.78 to 0.88)"
"nmdptc_mean.wt.cat=high",244,39,10.8,"10.2 to NA","1.00 (0.99 to 1)","0.99 (0.97 to 1)","0.96 (0.93 to 0.99)","0.78 (0.7 to 0.86)"
"nmdptc_mean.wt.cat=low",244,38,9.5,"8.6 to NA","1.00 (1 to 1)","0.99 (0.97 to 1)","0.98 (0.96 to 1)","0.84 (0.77 to 0.91)"
"nmdptc_mean.wt.cat=med",485,61,17.7,"9.5 to NA","1.00 (0.99 to 1)","0.98 (0.97 to 0.99)","0.95 (0.93 to 0.97)","0.82 (0.77 to 0.88)"
"nmdfs_max.cat=high",277,40,20.4,"9.4 to NA","1.00 (0.99 to 1)","0.98 (0.97 to 1)","0.95 (0.92 to 0.98)","0.83 (0.77 to 0.89)"
"nmdfs_max.cat=low",243,38,9.6,"8.1 to NA","1.00 (1 to 1)","0.99 (0.97 to 1)","0.99 (0.97 to 1)","0.84 (0.78 to 0.91)"
"nmdfs_max.cat=med",453,60,10.8,"10.2 to NA","1.00 (0.99 to 1)","0.98 (0.97 to 0.99)","0.95 (0.93 to 0.97)","0.79 (0.73 to 0.85)"
"nmdfs_n_decayed.cat=high",277,40,20.4,"9.4 to NA","1.00 (0.99 to 1)","0.98 (0.97 to 1)","0.95 (0.92 to 0.98)","0.83 (0.77 to 0.89)"
"nmdfs_n_decayed.cat=low",443,63,10.6,"9.5 to NA","1.00 (1 to 1)","0.99 (0.98 to 1)","0.98 (0.96 to 0.99)","0.83 (0.77 to 0.88)"
"nmdfs_n_decayed.cat=med",253,35,10.8,"8 to NA","0.99 (0.98 to 1)","0.97 (0.94 to 0.99)","0.94 (0.9 to 0.97)","0.77 (0.69 to 0.87)"
"nmdfs_frac_decayed.cat=high",503,77,11.7,"10.2 to NA","1.00 (0.99 to 1)","0.98 (0.97 to 0.99)","0.95 (0.93 to 0.97)","0.79 (0.74 to 0.85)"
"nmdfs_frac_decayed.cat=low",247,37,9.5,"8.1 to NA","1.00 (1 to 1)","0.99 (0.97 to 1)","0.98 (0.96 to 1)","0.84 (0.78 to 0.91)"
"nmdfs_frac_decayed.cat=med",223,24,10.8,"10.8 to NA","0.99 (0.98 to 1)","0.98 (0.96 to 1)","0.96 (0.93 to 0.99)","0.83 (0.75 to 0.92)"
"nmdfs_med.cat=high",277,41,20.4,"9.4 to NA","1.00 (0.99 to 1)","0.98 (0.97 to 1)","0.95 (0.92 to 0.98)","0.82 (0.76 to 0.89)"
"nmdfs_med.cat=low",244,34,9.5,"9.3 to NA","1.00 (1 to 1)","0.99 (0.98 to 1)","0.99 (0.97 to 1)","0.83 (0.76 to 0.91)"
"nmdfs_med.cat=med",452,63,10.8,"9.6 to NA","1.00 (0.99 to 1)","0.98 (0.96 to 0.99)","0.95 (0.93 to 0.97)","0.80 (0.74 to 0.86)"
"nmdfs_med.wt.cat=high",277,40,20.4,"9.4 to NA","1.00 (0.99 to 1)","0.98 (0.97 to 1)","0.95 (0.92 to 0.98)","0.83 (0.77 to 0.89)"
"nmdfs_med.wt.cat=low",244,37,9.5,"8.1 to NA","1.00 (1 to 1)","0.99 (0.97 to 1)","0.98 (0.96 to 1)","0.82 (0.75 to 0.9)"
"nmdfs_med.wt.cat=med",452,61,10.8,"10.2 to NA","1.00 (0.99 to 1)","0.98 (0.97 to 0.99)","0.95 (0.93 to 0.98)","0.80 (0.74 to 0.86)"
"nmdfs_mean.cat=high",277,41,20.4,"9.4 to NA","1.00 (0.99 to 1)","0.98 (0.97 to 1)","0.95 (0.92 to 0.98)","0.82 (0.76 to 0.89)"
"nmdfs_mean.cat=low",244,36,9.5,"8.1 to NA","1.00 (0.99 to 1)","0.99 (0.97 to 1)","0.98 (0.95 to 1)","0.82 (0.74 to 0.9)"
"nmdfs_mean.cat=med",452,61,10.8,"9.6 to NA","1.00 (0.99 to 1)","0.98 (0.97 to 0.99)","0.96 (0.94 to 0.98)","0.81 (0.75 to 0.87)"
"nmdfs_mean.wt.cat=high",277,40,20.4,"9.4 to NA","1.00 (0.99 to 1)","0.98 (0.97 to 1)","0.95 (0.92 to 0.98)","0.83 (0.77 to 0.89)"
"nmdfs_mean.wt.cat=low",244,36,9.6,"9.5 to NA","1.00 (1 to 1)","0.99 (0.97 to 1)","0.98 (0.96 to 1)","0.83 (0.76 to 0.91)"
"nmdfs_mean.wt.cat=med",452,62,10.8,"9.5 to NA","1.00 (0.99 to 1)","0.98 (0.97 to 0.99)","0.95 (0.93 to 0.98)","0.79 (0.74 to 0.86)"
"nmdns_max.cat=high",363,58,10.8,"9.4 to NA","0.99 (0.99 to 1)","0.98 (0.96 to 0.99)","0.96 (0.94 to 0.99)","0.79 (0.73 to 0.86)"
"nmdns_max.cat=low",244,37,10.6,"9.5 to NA","1.00 (1 to 1)","0.99 (0.97 to 1)","0.96 (0.93 to 0.99)","0.84 (0.77 to 0.91)"
"nmdns_max.cat=med",366,43,10.8,"9.5 to NA","1.00 (0.99 to 1)","0.99 (0.97 to 1)","0.95 (0.93 to 0.98)","0.82 (0.77 to 0.89)"
"nmdns_n_decayed.cat=high",363,58,10.8,"9.4 to NA","0.99 (0.99 to 1)","0.98 (0.96 to 0.99)","0.96 (0.94 to 0.99)","0.79 (0.73 to 0.86)"
"nmdns_n_decayed.cat=low",426,53,10.8,"9.5 to NA","1.00 (1 to 1)","0.99 (0.98 to 1)","0.96 (0.94 to 0.98)","0.85 (0.8 to 0.91)"
"nmdns_n_decayed.cat=med",184,27,9.5,"9.3 to NA","0.99 (0.98 to 1)","0.98 (0.96 to 1)","0.95 (0.91 to 0.99)","0.77 (0.68 to 0.88)"
"nmdns_frac_decayed.cat=high",598,85,10.8,"10.2 to NA","1.00 (0.99 to 1)","0.98 (0.97 to 0.99)","0.97 (0.95 to 0.99)","0.82 (0.77 to 0.86)"
"nmdns_frac_decayed.cat=low",306,42,9.6,"9.5 to NA","1.00 (1 to 1)","0.99 (0.98 to 1)","0.95 (0.92 to 0.98)","0.85 (0.79 to 0.91)"
"nmdns_frac_decayed.cat=med",69,11,10.8,"5 to NA","0.98 (0.95 to 1)","0.96 (0.92 to 1)","0.91 (0.83 to 1)","0.66 (0.5 to 0.88)"
"nmdns_med.cat=high",363,58,10.8,"9.4 to NA","0.99 (0.99 to 1)","0.98 (0.96 to 0.99)","0.96 (0.94 to 0.99)","0.79 (0.73 to 0.86)"
"nmdns_med.cat=low",249,34,9.6,"8.6 to NA","1.00 (1 to 1)","0.99 (0.98 to 1)","0.95 (0.93 to 0.98)","0.84 (0.77 to 0.91)"
"nmdns_med.cat=med",361,46,18.1,"10.8 to NA","1.00 (0.99 to 1)","0.98 (0.97 to 1)","0.96 (0.93 to 0.98)","0.82 (0.77 to 0.89)"
"nmdns_med.wt.cat=high",363,58,10.8,"9.4 to NA","0.99 (0.99 to 1)","0.98 (0.96 to 0.99)","0.96 (0.94 to 0.99)","0.79 (0.73 to 0.86)"
"nmdns_med.wt.cat=low",244,32,9.6,"9.5 to NA","1.00 (1 to 1)","1.00 (0.99 to 1)","0.96 (0.94 to 0.99)","0.83 (0.76 to 0.91)"
"nmdns_med.wt.cat=med",366,48,18.1,"9.5 to NA","1.00 (0.99 to 1)","0.98 (0.97 to 1)","0.95 (0.93 to 0.98)","0.83 (0.77 to 0.89)"
"nmdns_mean.cat=high",363,58,10.8,"9.4 to NA","0.99 (0.99 to 1)","0.98 (0.96 to 0.99)","0.96 (0.94 to 0.99)","0.79 (0.73 to 0.86)"
"nmdns_mean.cat=low",244,34,9.5,"8.6 to NA","1.00 (1 to 1)","0.99 (0.98 to 1)","0.96 (0.93 to 0.99)","0.83 (0.76 to 0.91)"
