Arm	# Genes	Amp frequency	Amp z-score	Amp q-value	Del Frequency	Del z-score	Del q-value
1p	1300	0.22	0.557	0.86	0.12	-4.14	1
1q	1195	0.33	4.81	4.6e-06	0.13	-3.93	1
2p	624	0.28	-0.436	1	0.19	-3.68	1
2q	967	0.16	-3.55	1	0.27	1.03	0.313
3p	644	0.38	4.01	0.000122	0.22	-2.19	1
3q	733	0.45	7.81	2.84e-14	0.13	-4.94	1
4p	289	0.13	-6.67	1	0.40	2.95	0.00439
4q	670	0.09	-7.14	1	0.36	3.48	0.000723
5p	183	0.39	2.13	0.0618	0.34	0.224	0.767
5q	905	0.15	-3.75	1	0.47	9.71	0
6p	710	0.22	-2.33	1	0.33	2.03	0.0514
6q	556	0.12	-5.75	1	0.44	6.41	4.15e-10
7p	389	0.43	4.8	4.6e-06	0.12	-6.6	1
7q	783	0.38	4.97	2.7e-06	0.13	-5.15	1
8p	338	0.30	-0.411	1	0.63	12.5	0
8q	551	0.52	9.08	0	0.25	-1.44	1
9p	301	0.27	-1.61	1	0.52	7.96	7.28e-15
9q	700	0.22	-2.04	1	0.49	8.84	0
10p	253	0.30	-1.02	1	0.31	-0.858	1
10q	738	0.12	-5.52	1	0.37	4.34	2.47e-05
11p	509	0.11	-6.31	1	0.48	7.58	1.21e-13
11q	975	0.16	-3.22	1	0.36	5.17	4.78e-07
12p	339	0.32	0.0515	1	0.20	-4.53	1
12q	904	0.25	-0.139	1	0.19	-2.53	1
13q	560	0.31	0.543	0.86	0.28	-0.593	1
14q	938	0.20	-2.04	1	0.34	4.06	7.82e-05
15q	810	0.13	-4.89	1	0.39	5.28	2.94e-07
16p	559	0.22	-2.63	1	0.35	2.36	0.0234
16q	455	0.25	-1.97	1	0.34	1.54	0.134
17p	415	0.22	-2.98	1	0.53	9	0
17q	972	0.36	4.7	5.88e-06	0.20	-1.92	1
18p	104	0.34	-0.269	1	0.37	0.992	0.314
18q	275	0.21	-4.09	1	0.44	4.4	1.98e-05
19p	681	0.24	-1.38	1	0.33	1.85	0.0731
19q	935	0.36	4.7	5.88e-06	0.24	-0.49	1
20p	234	0.53	8.22	1.52e-15	0.17	-5.05	1
20q	448	0.58	11.6	0	0.12	-5.53	1
21q	258	0.35	0.954	0.581	0.27	-2.09	1
22q	564	0.19	-3.45	1	0.44	6.3	7.49e-10
Xp	418	0.16	-5.66	1	0.24	-2.87	1
Xq	668	0.13	-6.12	1	0.24	-1.89	1
