cytoband	6p22.3	1q23.3	11q13.3	8q22.3	3p25.2	12q15	10p14	8p11.23	19q12	20q11.21	1p34.2	17q12	5p15.33	7p11.2	1q21.3	13q22.1	7p21.1	16p13.2	22q12.2	3q26.33	17q23.3	4p16.3	6q21	4q13.3	2p25.1	11q22.2	12p12.1	19q13.43	16q22.1	9p24.1	6q23.3	11p13	8p11.21	8q24.21	16p11.2	17q11.2	17p11.2	
q value	7.0358e-82	6.2869e-56	2.1017e-45	1.6131e-47	7.6031e-36	1.5107e-24	3.3503e-17	7.0205e-19	7.2449e-15	7.3224e-09	9.7487e-09	3.4505e-11	7.3103e-07	4.076e-09	3.5262e-28	0.00019023	1.6239e-06	6.162e-06	0.00055806	0.0018563	0.00012456	0.0031734	0.0051938	0.021206	0.033813	4.0493e-06	0.05329	0.013691	0.063591	0.073854	0.057414	0.084381	7.4005e-05	2.9785e-13	0.040034	1.6872e-05	0.12737	
residual q value	7.0358e-82	6.1828e-49	1.777e-43	3.5745e-41	7.6031e-36	1.5107e-24	3.3503e-17	7.6629e-16	1.7046e-12	7.3224e-09	9.7487e-09	7.7764e-08	7.3103e-07	9.8199e-07	3.8786e-05	0.00019023	0.00020836	0.00034988	0.00055806	0.0018563	0.0024208	0.0031734	0.016021	0.021206	0.033813	0.046827	0.05329	0.060528	0.063591	0.073854	0.077908	0.093343	0.13939	0.15486	0.1633	0.2473	0.2798	
wide peak boundaries	chr6:21462625-21757620	chr1:161001146-161084006	chr11:69464719-69481388	chr8:101746104-101995874	chr3:12384543-12494277	chr12:69178021-70150587	chr10:7924008-8345608	chr8:37449639-37645465	chr19:30290812-30528529	chr20:30109883-30332464	chr1:40039708-40539227	chr17:37830679-37899687	chr5:1-1962255	chr7:54752424-55428978	chr1:150496857-150863520	chr13:73809522-74092438	chr7:16925519-17854266	chr16:8524681-9597257	chr22:29404707-31755748	chr3:163842832-198022430	chr17:57049659-81195210	chr4:1738268-1817427	chr6:107256674-107514789	chr4:73675242-74478903	chr2:1-10383874	chr11:101984719-102817092	chr12:24880663-26135323	chr19:53202481-58657102	chr16:67091362-74472459	chr9:962233-9621486	chr6:135470481-135807204	chr11:33493973-35438140	chr8:41509238-42133127	chr8:127017284-129586945	chr16:28605319-29428538	chr17:27064353-27933231	chr17:20571331-25270516	
genes in wide peak	LINC00340	F11R	CCND1	RN7SL685P	PPARG	RN7SL804P	LINC00708	ZNF703	CCNE1	BCL2L1	BMP8B	MIR4728	NDUFS6	SNORA73|ENSG00000252054.1	SNORA40|ENSG00000253047.1	LINC00393	SNORA63|ENSG00000199473.1	C16orf72	RNA5SP496	FAM157A	MIR4525	FGFR3	C6orf203	SNORA3|ENSG00000221639.1	SNORA2|ENSG00000206647.1	MMP12	RN7SKP262	RN7SL526P	NPIPB15	RN7SL5P	MYB	MIR1343	snoU13|ENSG00000238714.1	RN7SKP226	SNX29P2	MIR4523	MTND1P15	
	SOX4	PFDN2	ORAOV1	RNU6ATAC41P		SLC35E3	TAF3	ERLIN2	URI1	ID1	MYCL	ERBB2	SDHAP3	EGFR	RN7SL600P		AHR	RN7SL743P	RN7SL633P	FYTTD1	RAB40B	LETM1	PDSS2	RNU6ATAC5P	SNORA26|ENSG00000212558.1	WTAPP1	BCAT1	ZNF417	HCCAT5	SNORD27|ENSG00000251699.1	AHI1	EHF	SNORD112|ENSG00000238966.1	TMEM75	SNX29P2	TIAF1	UBBP4	
		USF1		YWHAZ		CPM	GATA3	PROSC		TPX2	PPT1	GRB7	MIR4635	SEC61G	RN7SL473P		SNX13	ABAT	TUG1	snoU13|ENSG00000238491.1	snoU13|ENSG00000238403.1	TACC3	BEND3	RNU4ATAC9P	snoU13|ENSG00000238462.1	BIRC2	KRAS	ZNF814	PKD1L3	RN7SL123P	MIR548A2	CD59	RN7SL149P	POU5F1B	RRN3P2	NEK8	RN7SL426P	
		PVRL4				LYZ		GPR124		HM13	PABPC4	MIEN1	ZDHHC11B		C1orf138			PMM2	MIR3200	MIR4797	snoU13|ENSG00000238947.1			AFM	IAH1	BIRC3	LRMP	ZNF134	IST1	snoU13|ENSG00000252110.1		C11orf91	MIR486	CASC8	snoU13|ENSG00000238699.1	CRYBA1	TMEM11	
		KLHDC9				MDM2				COX4I2	PPIE	PGAP3	CCDC127		ARNT			USP7	SEC14L6	U4|ENSG00000272359.1	DUS1L			AFP	snoU13|ENSG00000238888.1	MMP1	RASSF8	ZNF548	SNORD71	RN7SL25P		CAT	ANK1	CCAT1	MIR4517	FLOT2	KCNJ12	
		ARHGAP30				YEATS4				MIR3193	CAP1		LRRC14B		CTSK			CARHSP1	KIAA1658	RN7SL738P	PCYT2			ALB	MBOAT2	MMP3	CASC1	ZNF805	SNORA70D	C9orf38		CD44	IKBKB	PCAT2	SNORA43|ENSG00000252461.1	TRAF4	MAP2K3	
		TSTD1				CCT2					HEYL		PLEKHG4B		CTSS			TMEM186	MGC20647	RN7SL434P	SLC25A10			ANKRD17	RNU6ATAC37P	MMP7	LYRM5	ZNF264	TAT	MLANA		ELF5	PLAT	PCAT1	MIR4721	ERAL1	USP22	
						FRS2					HPCAL4		SDHA		ENSA			METTL22	RFPL1S	UBXN7	LINC00482			RASSF6	RN7SKP112	MMP8	IFLTD1	DUXA	SNORD112|ENSG00000251700.1	snoU13|ENSG00000238654.1		LMO2	KAT6A	MYC	snoU13|ENSG00000238352.1	GIT1	DHRS7B	
						CPSF6					TRIT1		SLC6A3		MCL1			TMEM114	SNORD125	SDHAP1	MIR1250			COX18	FLJ30594	MMP10	C12orf77	U3|ENSG00000252683.1	RNU6ATAC25P	INSL4		CAPRIN1	AP3M2	FAM84B	NPIPB9	PIPOX	C17orf103	
