"var","hr","pval","hr_ci95"
"cyt.catmed",0.7,"5.39e-02","0.4 to 1"
"cyt.cathigh",0.5,"3.64e-03","0.3 to 0.8"
"age.cat>=65",1.8,"8.75e-04","1.3 to 2.6"
"gendermale",1.4,"5.03e-02","1 to 2"
"tnm_stageI",1.1,"8.32e-01","0.4 to 3.3"
"tnm_stageI/II NOS",0.4,"1.98e-01","0.1 to 1.7"
"tnm_stageII",1.2,"7.67e-01","0.4 to 3.4"
"tnm_stageIII",2,"1.98e-01","0.7 to 5.6"
"tnm_stageIV",3.6,"4.29e-02","1 to 12.3"
"TMB.cathigh",0.6,"1.73e-03","0.4 to 0.8"
"PDL1.catmed",0.6,"3.57e-02","0.4 to 1"
"PDL1.cathigh",0.6,"3.41e-02","0.3 to 1"
"cyt.bool1",0.4,"3.32e-03","0.2 to 0.7"
"age.cat>=65",2,"6.19e-03","1.2 to 3.3"
"gendermale",1.2,"4.30e-01","0.8 to 1.9"
"tnm_stageI",0.6,"4.61e-01","0.2 to 2.2"
"tnm_stageI/II NOS",0.1,"6.19e-02","0 to 1.1"
"tnm_stageII",0.6,"3.77e-01","0.2 to 2"
"tnm_stageIII",1.5,"4.87e-01","0.5 to 5.3"
"tnm_stageIV",2,"3.96e-01","0.4 to 10.7"
"TMB.cathigh",0.7,"2.14e-01","0.5 to 1.2"
"PDL1.catmed",0.6,"6.04e-02","0.3 to 1"
"PDL1.cathigh",0.6,"2.74e-01","0.3 to 1.4"
"TMB.cathigh",0.6,"6.36e-03","0.4 to 0.9"
"age.cat>=65",1.8,"9.93e-04","1.3 to 2.6"
"gendermale",1.4,"5.61e-02","1 to 2"
"tnm_stageI",1.3,"6.81e-01","0.4 to 3.6"
"tnm_stageI/II NOS",0.4,"2.37e-01","0.1 to 1.9"
"tnm_stageII",1.4,"4.98e-01","0.5 to 4.1"
"tnm_stageIII",2.2,"1.29e-01","0.8 to 6.4"
"tnm_stageIV",3.5,"4.66e-02","1 to 12"
"PDL1.catmed",0.5,"4.41e-04","0.3 to 0.7"
"PDL1.cathigh",0.4,"4.20e-05","0.2 to 0.6"
"PDL1.cat0positive",2.2,"4.31e-01","0.3 to 16.5"
"age.cat>=65",1.8,"1.00e-03","1.3 to 2.6"
"gendermale",1.4,"4.79e-02","1 to 2"
"tnm_stageI",1.3,"6.67e-01","0.4 to 3.7"
"tnm_stageI/II NOS",0.4,"2.32e-01","0.1 to 1.8"
"tnm_stageII",1.5,"4.83e-01","0.5 to 4.2"
"tnm_stageIII",2.3,"1.21e-01","0.8 to 6.5"
"tnm_stageIV",3.5,"4.50e-02","1 to 12.1"
"TMB.cathigh",0.6,"8.50e-03","0.4 to 0.9"
"PDL1.catmed",0.5,"2.85e-04","0.3 to 0.7"
"PDL1.cathigh",0.4,"2.75e-05","0.2 to 0.6"
"PDL1.catmed",0.5,"4.41e-04","0.3 to 0.7"
"PDL1.cathigh",0.4,"4.20e-05","0.2 to 0.6"
"age.cat>=65",1.8,"9.93e-04","1.3 to 2.6"
"gendermale",1.4,"5.61e-02","1 to 2"
"tnm_stageI",1.3,"6.81e-01","0.4 to 3.6"
"tnm_stageI/II NOS",0.4,"2.37e-01","0.1 to 1.9"
"tnm_stageII",1.4,"4.98e-01","0.5 to 4.1"
"tnm_stageIII",2.2,"1.29e-01","0.8 to 6.4"
"tnm_stageIV",3.5,"4.66e-02","1 to 12"
"TMB.cathigh",0.6,"6.36e-03","0.4 to 0.9"
"nmdptc_mut.bool1",0.7,"3.33e-01","0.3 to 1.5"
"age.cat>=65",1.8,"1.44e-03","1.3 to 2.6"
"gendermale",1.4,"5.64e-02","1 to 2"
"tnm_stageI",1.2,"7.48e-01","0.4 to 3.5"
"tnm_stageI/II NOS",0.4,"2.30e-01","0.1 to 1.8"
"tnm_stageII",1.4,"5.01e-01","0.5 to 4.1"
"tnm_stageIII",2.2,"1.35e-01","0.8 to 6.3"
"tnm_stageIV",3.3,"5.69e-02","1 to 11.5"
"TMB.cathigh",0.6,"1.08e-02","0.5 to 0.9"
"PDL1.catmed",0.5,"4.16e-04","0.3 to 0.7"
