Sample	Chromosome	Start.bp	End.bp	Num.Markers	Seg.CN
TCGA-4C-A93U-01A-11D-A396-01	1	3218610	8074909	2992	-0.807106
TCGA-4C-A93U-01A-11D-A396-01	1	8080565	181529752	83964	0.000000
TCGA-4C-A93U-01A-11D-A396-01	1	181532332	247812431	41655	0.690390
TCGA-4C-A93U-01A-11D-A396-01	2	484222	240967916	130040	0.000000
TCGA-4C-A93U-01A-11D-A396-01	2	240971519	240983600	14	0.813062
TCGA-4C-A93U-01A-11D-A396-01	2	240987844	242476062	755	0.000000
TCGA-4C-A93U-01A-11D-A396-01	3	2212571	197538677	105962	0.000000
TCGA-4C-A93U-01A-11D-A396-01	4	1053934	188762240	102147	0.000000
TCGA-4C-A93U-01A-11D-A396-01	5	914233	19383327	11617	0.000000
TCGA-4C-A93U-01A-11D-A396-01	5	19383621	19396253	20	0.752384
TCGA-4C-A93U-01A-11D-A396-01	5	19401451	123538553	54096	0.000000
TCGA-4C-A93U-01A-11D-A396-01	5	123542081	123546260	7	-0.801225
TCGA-4C-A93U-01A-11D-A396-01	5	123546684	180360469	34302	0.000000
TCGA-4C-A93U-01A-11D-A396-01	6	1014281	30343251	18831	0.000000
TCGA-4C-A93U-01A-11D-A396-01	6	30346918	30348247	6	-0.885827
TCGA-4C-A93U-01A-11D-A396-01	6	30348832	170903919	77164	0.000000
TCGA-4C-A93U-01A-11D-A396-01	7	708774	158385118	80988	0.000000
TCGA-4C-A93U-01A-11D-A396-01	8	617667	2105733	723	0.000000
TCGA-4C-A93U-01A-11D-A396-01	8	2109442	2708112	17	0.893088
TCGA-4C-A93U-01A-11D-A396-01	8	2710392	145232496	80381	0.000000
TCGA-4C-A93U-01A-11D-A396-01	9	789932	138968197	67193	0.000000
TCGA-4C-A93U-01A-11D-A396-01	9	138974889	138991814	5	-0.490492
TCGA-4C-A93U-01A-11D-A396-01	9	138996533	140938752	476	0.000000
TCGA-4C-A93U-01A-11D-A396-01	10	415240	135225087	80499	0.000000
TCGA-4C-A93U-01A-11D-A396-01	11	456120	134132624	76822	0.000000
