Arm	# Genes	Amp frequency	Amp z-score	Amp q-value	Del Frequency	Del z-score	Del q-value
1p	1300	0.31	3.02	0.00647	0.23	-0.723	1
1q	1195	0.63	18.1	0	0.27	0.252	0.782
2p	624	0.31	-0.208	1	0.08	-9.58	1
2q	967	0.29	0.395	1	0.07	-8.84	1
3p	644	0.12	-7.09	1	0.46	7.07	3.18e-12
3q	733	0.21	-3.89	1	0.36	2.9	0.00514
4p	289	0.19	-6.09	1	0.29	-2.42	1
4q	670	0.12	-7.67	1	0.29	-0.557	1
5p	183	0.55	8.47	0	0.32	-0.947	1
5q	905	0.31	1.03	0.564	0.41	5.59	3.99e-08
6p	710	0.32	0.942	0.592	0.30	0.106	0.853
6q	556	0.15	-5.92	1	0.49	8.33	0
7p	389	0.54	9.81	0	0.17	-5.54	1
7q	783	0.45	7.36	7.26e-13	0.17	-4.95	1
8p	338	0.32	-0.536	1	0.55	9.5	0
8q	551	0.51	8.46	0	0.27	-1.6	1
9p	301	0.16	-5.84	1	0.58	10.9	0
9q	700	0.12	-6.33	1	0.52	10.3	0
10p	253	0.26	-3.63	1	0.29	-2.33	1
10q	738	0.20	-4.28	1	0.31	0.318	0.769
11p	509	0.22	-4.29	1	0.27	-2.11	1
11q	975	0.26	-1.01	1	0.24	-1.74	1
12p	339	0.34	0.0416	1	0.29	-1.9	1
12q	904	0.30	0.779	0.687	0.26	-1.04	1
13q	560	0.16	-5.49	1	0.53	10.1	0
14q	938	0.32	1.52	0.263	0.30	0.811	0.503
15q	810	0.14	-5.67	1	0.51	10.5	0
16p	559	0.32	0.233	1	0.30	-0.809	1
16q	455	0.25	-3.09	1	0.34	0.744	0.52
17p	415	0.22	-3.82	1	0.54	9.34	0
17q	972	0.39	5.3	3.93e-07	0.23	-1.93	1
18p	104	0.26	-3.77	1	0.43	3.29	0.00149
18q	275	0.21	-4.93	1	0.49	6.7	3.86e-11
19p	681	0.09	-7.51	1	0.52	10.2	0
19q	935	0.20	-3.46	1	0.38	4.42	1.56e-05
20p	234	0.42	2.88	0.00916	0.36	0.389	0.752
20q	448	0.43	4.47	2.26e-05	0.25	-2.94	1
21q	258	0.28	-2.59	1	0.40	2.36	0.0237
22q	564	0.20	-4.09	1	0.49	7.96	4.05e-15
Xp	418	0.10	-9.77	1	0.25	-3.61	1
Xq	668	0.16	-6.52	1	0.17	-6.28	1
