"var","hr","pval","hr_ci95"
"cyt.catmed",1,"9.36e-01","0.5 to 1.8"
"cyt.cathigh",0.6,"2.77e-01","0.3 to 1.4"
"age.cat>=65",2.2,"1.03e-02","1.2 to 4.1"
"gendermale",1.5,"2.25e-01","0.8 to 2.7"
"tnm_stageIII",1.1,"7.66e-01","0.5 to 2.3"
"tnm_stageIV",1.6,"1.42e-01","0.8 to 3.2"
"TMB.cathigh",0.5,"1.47e-02","0.3 to 0.9"
"PDL1.catmed",1.5,"2.34e-01","0.8 to 3.1"
"PDL1.cathigh",1.5,"3.49e-01","0.6 to 3.5"
"cyt.bool1",0.8,"6.45e-01","0.3 to 2.2"
"age.cat>=65",2.4,"7.31e-02","0.9 to 6.4"
"gendermale",1.6,"3.21e-01","0.6 to 4.2"
"tnm_stageIII",1.8,"2.75e-01","0.6 to 4.8"
"tnm_stageIV",2.5,"5.85e-02","1 to 6.7"
"TMB.cathigh",0.4,"4.40e-02","0.2 to 1"
"PDL1.catmed",0.9,"8.22e-01","0.3 to 2.5"
"PDL1.cathigh",0.9,"9.17e-01","0.3 to 3.2"
"TMB.cathigh",0.5,"1.49e-02","0.3 to 0.9"
"age.cat>=65",2.3,"6.05e-03","1.3 to 4.2"
"gendermale",1.5,"2.29e-01","0.8 to 2.7"
"tnm_stageIII",1.1,"8.90e-01","0.5 to 2.1"
"tnm_stageIV",1.8,"6.34e-02","1 to 3.5"
"PDL1.catmed",1.3,"3.77e-01","0.7 to 2.6"
"PDL1.cathigh",1.2,"6.58e-01","0.5 to 2.6"
"PDL1.cat0positive",1,"9.11e-01","0.5 to 2.1"
"age.cat>=65",2.3,"6.03e-03","1.3 to 4.3"
"gendermale",1.5,"2.40e-01","0.8 to 2.7"
"tnm_stageIII",1.1,"8.89e-01","0.5 to 2.1"
"tnm_stageIV",1.8,"6.36e-02","1 to 3.4"
"TMB.cathigh",0.5,"1.51e-02","0.3 to 0.9"
"PDL1.catmed",1.3,"5.11e-01","0.6 to 3"
"PDL1.cathigh",1.1,"8.02e-01","0.4 to 3.3"
"PDL1.catmed",1.3,"3.77e-01","0.7 to 2.6"
"PDL1.cathigh",1.2,"6.58e-01","0.5 to 2.6"
"age.cat>=65",2.3,"6.05e-03","1.3 to 4.2"
"gendermale",1.5,"2.29e-01","0.8 to 2.7"
"tnm_stageIII",1.1,"8.90e-01","0.5 to 2.1"
"tnm_stageIV",1.8,"6.34e-02","1 to 3.5"
"TMB.cathigh",0.5,"1.49e-02","0.3 to 0.9"
"nmdptc_mut.bool1",0.2,"1.42e-01","0 to 1.7"
"age.cat>=65",2.3,"6.74e-03","1.3 to 4.2"
"gendermale",1.5,"1.90e-01","0.8 to 2.9"
"tnm_stageIII",1,"9.64e-01","0.5 to 2.1"
"tnm_stageIV",1.8,"6.09e-02","1 to 3.5"
"TMB.cathigh",0.5,"1.94e-02","0.3 to 0.9"
"PDL1.catmed",1.3,"3.76e-01","0.7 to 2.6"
"PDL1.cathigh",1.1,"7.64e-01","0.5 to 2.5"
"nmdfs_mut.bool1",1.3,"5.20e-01","0.6 to 2.6"
"age.cat>=65",2.4,"5.07e-03","1.3 to 4.4"
"gendermale",1.4,"2.53e-01","0.8 to 2.7"
