Arm	# Genes	Amp frequency	Amp z-score	Amp q-value	Del Frequency	Del z-score	Del q-value
1p	1300	0.33	6.98	1.54e-11	0.06	-4.02	1
1q	1195	0.49	13.8	0	0.08	-3.05	1
2p	624	0.23	1.17	0.492	0.09	-4.13	1
2q	967	0.12	-2.68	1	0.16	-1.07	1
3p	644	0.26	2.29	0.057	0.43	9.1	0
3q	733	0.59	16.2	0	0.26	2.02	0.0552
4p	289	0.07	-4.56	1	0.46	10.1	0
4q	670	0.07	-4.49	1	0.34	5.99	7e-09
5p	183	0.38	6.25	1.67e-09	0.17	-1.49	1
5q	905	0.16	-1.14	1	0.23	1.9	0.0687
6p	710	0.19	-0.0723	1	0.21	0.445	0.641
6q	556	0.15	-1.99	1	0.29	3.72	0.000448
7p	389	0.14	-2.84	1	0.10	-4.23	1
7q	783	0.14	-2.23	1	0.15	-1.7	1
8p	338	0.22	0.476	1	0.36	5.72	3.09e-08
8q	551	0.33	5.24	4.64e-07	0.14	-2.36	1
9p	301	0.20	-0.397	1	0.23	0.593	0.567
9q	700	0.19	-0.35	1	0.21	0.684	0.533
10p	253	0.10	-4.12	1	0.25	1.48	0.159
10q	738	0.07	-4.7	1	0.27	3.16	0.0027
11p	509	0.05	-5.44	1	0.35	6.18	3.06e-09
11q	975	0.04	-4.82	1	0.40	9.5	0
12p	339	0.21	-0.0752	1	0.17	-1.7	1
12q	904	0.17	-0.59	1	0.07	-4.75	1
13q	560	0.12	-3.09	1	0.30	3.92	0.000223
14q	938	0.17	-0.44	1	0.15	-1.51	1
15q	810	0.21	0.646	0.965	0.20	0.254	0.712
16p	559	0.17	-1.32	1	0.13	-2.74	1
16q	455	0.16	-1.95	1	0.17	-1.31	1
17p	415	0.09	-4.15	1	0.36	6.16	3.06e-09
17q	972	0.16	-1.05	1	0.14	-1.73	1
18p	104	0.19	-0.976	1	0.23	0.361	0.669
18q	275	0.14	-2.62	1	0.28	2.7	0.0102
19p	681	0.14	-1.93	1	0.28	3.35	0.00151
19q	935	0.24	2.13	0.0758	0.18	-0.255	1
20p	234	0.36	5.86	1.6e-08	0.13	-2.84	1
20q	448	0.40	7.92	1.67e-14	0.08	-4.16	1
21q	258	0.15	-2.4	1	0.19	-0.909	1
22q	564	0.13	-2.65	1	0.27	2.71	0.0102
Xp	418	0.12	-3.13	1	0.29	3.53	0.000845
Xq	668	0.16	-1.51	1	0.25	2.22	0.0361
