cytoband	2q37.1	2q22.1	19p13.3	11q25	13q14.2	4q35.2	10q23.31	3p14.2	20p12.1	6q26	11q23.3	5q12.1	15q21.1	16q23.1	17q25.3	1p36.23	14q32.31	22q13.32	7q34	18q21.2	4q22.1	Xq21.33	13q12.11	1p13.2	8p23.1	16q11.2	Xp11.3	11p15.1	17p12	19q13.33	4q21.3	6p24.2	4p16.3	8p23.3	21q11.2	5q35.2	3p22.1	
q value	3.4658e-41	6.6482e-33	9.9312e-23	8.6615e-32	2.1677e-19	1.6538e-13	6.9992e-10	1.8623e-09	1.228e-07	9.8477e-05	1.0762e-32	0.00016731	0.00049652	0.000483	0.00067839	0.00029523	0.00086239	0.0012154	0.0016147	0.0017276	0.00052555	0.0078807	1.3358e-09	0.01281	0.0021054	0.017271	0.025888	0.02701	0.029817	0.027508	0.0015898	0.046699	0.12975	0.0043898	0.19516	0.10011	0.012895	
residual q value	7.558e-32	5.6286e-25	9.9312e-23	1.103e-21	1.1178e-15	1.8376e-12	6.9992e-10	3.1447e-08	1.228e-07	9.6964e-05	0.000119	0.00031668	0.00052555	0.00069066	0.00069066	0.00073367	0.00086239	0.0011969	0.0015335	0.0016251	0.0061193	0.0077475	0.020691	0.023705	0.024142	0.025861	0.025861	0.026104	0.02861	0.02861	0.034525	0.048246	0.12484	0.14939	0.20056	0.22968	0.24981	
wide peak boundaries	chr2:230574908-243199373	chr2:140708948-143637838	chr19:1103802-1272039	chr11:129859007-132285294	chr13:40171063-57135901	chr4:187179487-191154276	chr10:89617158-90034038	chr3:59034763-61547330	chr20:14301156-16252980	chr6:155575868-171115067	chr11:104032904-131242853	chr5:58151172-59818245	chr15:37383162-57887323	chr16:78098006-79299841	chr17:79581698-81195210	chr1:1-28840301	chr14:89164454-107349540	chr22:48668582-51304566	chr7:120621211-159138663	chr18:48472083-48650073	chr4:91271445-93240505	chrX:96134519-99356556	chr13:1-25951022	chr1:90490107-149898950	chr8:11272209-11352540	chr16:31804435-61681921	chrX:44702452-45008304	chr11:1-28044390	chr17:11919496-12456081	chr19:45821186-59128983	chr4:87503395-87746054	chr6:1-26184040	chr4:1-13336904	chr8:1-4251018	chr21:1-34398715	chr5:175053854-175224904	chr3:41280645-42218893	
genes in wide peak	CXXC11	RN7SL283P	ATP5D	RNU6ATAC12P	snoU13|ENSG00000238455.1	RNA5SP175	SNORD74|ENSG00000200891.1	U3|ENSG00000212211.1	RNA5SP475	MIR4644	RN7SL167P	FKSG52	LINC00926	RNA5SP431	MIR4525	SNORA73B	RNA5SP389	ARSA	LINC00689	RN7SL695P	RN7SKP248	SNORA25|ENSG00000252296.1	PABPC3	HIST2H3A	FAM167A	RN7SL143P	KDM6A	LINC00678	MIR744	RN7SL525P	PTPN13	HIST1H2BC	RNA5SP156	RN7SL872P	SNORA70|ENSG00000207098.1	RN7SKP148	U8|ENSG00000212145.2	
	RNA5SP122	LRP1B	GPX4	RN7SL167P	LINC00458	RNA5SP174	PTEN	NPCDR1	FLRT3	TCP10	LINC00167	MIR582	snoU13|ENSG00000239035.1	PIH1	RAB40B	RNU6ATAC27P	LINC00221	RN7SL500P	MIR595	SMAD4		RN7SL74P	LSP1|ENSG00000269099.1	HIST2H2AA3		SLC38A7	DUSP21	RNA5SP339	MAP2K4	RN7SL693P		HIST1H4C	HS3ST1	RNA5SP251	C21orf62	HRH2	RN7SKP58	
	MIR3133		STK11	LINC00167	LINC00558	HSP90AA4P	KLLN	FHIT		TTLL2	KCNJ5	PDE4D	RN7SL568P	WWOX	snoU13|ENSG00000238403.1	RN7SL559P	LINC00226	DENND6B	RN7SL142P	ELAC1		RPA4	TPTE2P1	HIST2H3C		snoU13|ENSG00000239121.1		SVIP		RNA5SP473		snoU13|ENSG00000238322.1	CLNK	RPL23AP53	C21orf49		SCARNA21|ENSG00000252409.1	
	RNPEPL1		SBNO2	APLP2	RN7SL618P	F11				GPR31	RN7SKP279		snoU13|ENSG00000238513.1		snoU13|ENSG00000238947.1	SCARNA1	ADAM6	TTLL8	SHH				RNY1P7	FAM72C		SNORA50|ENSG00000206952.2		RNA5SP338		RN7SL526P		RNY5P5	RNA5SP155	OR4F21	C21ORF59		ULK4	
	MIR149		MIDN	ST14	SUGT1	FAT1				FGFR1OP	RN7SKP121		PYGO1		DUS1L	GPN2	KIAA0125	ALG12	RN7SKP280				TPTE2P6	FCGR1C		SNORA46|ENSG00000207493.1		RNA5SP337		ZNF417		CMAHP	MIR3138	CLN8	TCP10L			
	MIR2467		C19orf26	ADAMTS8	LINC00345	FRG1				MIR1913	MIR3167		MIR628		PCYT2	ZDHHC18	IGHJ1	RN7SKP252	HTR5A				LINC00566	RNA5SP59		RN7SL645P		RNA5SP336		ZNF814		RN7SL334P	RNA5SP154	MYOM2	LINC00846			
	MIR4441			ZBTB44	RNY4P24	MTNR1A				SFT2D1	snoU13|ENSG00000238855.1		RSL24D1		SLC25A10	RN7SL165P	IGHJ2	ACR	RN7SL845P				MIR2276	NBPF15		TEPP		SLC6A5		ZNF134		C6orf62	RNA5SP153	DLGAP2	RNA5SP490			
