Arm	# Genes	Amp frequency	Amp z-score	Amp q-value	Del Frequency	Del z-score	Del q-value
1p	1300	0.14	0.0477	1	0.14	-0.181	0.977
1q	1195	0.25	5.79	2.12e-08	0.11	-2.66	1
2p	624	0.19	-1.61	1	0.09	-6.63	1
2q	967	0.15	-1.75	1	0.10	-4.31	1
3p	644	0.17	-1.38	1	0.71	26.5	0
3q	733	0.50	14.9	0	0.35	6.16	1.64e-09
4p	289	0.10	-6.24	1	0.41	7.94	5.85e-15
4q	670	0.09	-5.53	1	0.31	5.47	8.25e-08
5p	183	0.38	5.48	1.1e-07	0.24	-1.15	1
5q	905	0.15	-1.69	1	0.39	11.4	0
6p	710	0.17	-1.88	1	0.17	-2.06	1
6q	556	0.14	-4.44	1	0.16	-3.53	1
7p	389	0.36	6.04	5.11e-09	0.11	-5.82	1
7q	783	0.25	2.91	0.00684	0.12	-3.93	1
8p	338	0.36	4.35	2.73e-05	0.58	15.6	0
8q	551	0.62	20.3	0	0.23	0.097	0.853
9p	301	0.29	1.39	0.262	0.45	9.51	0
9q	700	0.31	4.92	1.97e-06	0.25	1.98	0.0657
10p	253	0.10	-6.85	1	0.34	3.87	0.000183
10q	738	0.08	-6.1	1	0.23	1.55	0.145
11p	509	0.17	-2.8	1	0.31	3.85	0.000183
11q	975	0.19	0.705	0.657	0.39	11.6	0
12p	339	0.29	2.29	0.0377	0.11	-6.15	1
12q	904	0.18	-0.352	1	0.08	-5.68	1
13q	560	0.16	-3.08	1	0.36	7.21	1.46e-12
14q	938	0.33	8.01	5.69e-15	0.15	-1.45	1
15q	810	0.17	-1.41	1	0.23	1.78	0.0965
16p	559	0.23	0.274	1	0.16	-3.26	1
16q	455	0.23	-0.145	1	0.20	-1.64	1
17p	415	0.15	-4.15	1	0.24	0.0537	0.853
17q	972	0.17	-0.713	1	0.08	-5.23	1
18p	104	0.26	-0.724	1	0.30	0.96	0.364
18q	275	0.13	-5.01	1	0.47	10.7	0
19p	681	0.12	-4.46	1	0.22	0.609	0.53
19q	935	0.17	-0.942	1	0.21	1.37	0.195
20p	234	0.40	6.67	1.05e-10	0.15	-4.42	1
20q	448	0.40	8.29	1.52e-15	0.12	-5.08	1
21q	258	0.10	-6.47	1	0.38	6.14	1.64e-09
22q	564	0.25	1.3	0.283	0.18	-2.13	1
Xp	418	0.10	-6.26	1	0.31	3.47	0.000759
Xq	668	0.18	-1.6	1	0.23	0.815	0.426
