"var","hr","pval","hr_ci95"
"cyt.catmed",1.2,"4.83e-01","0.7 to 2.1"
"cyt.cathigh",0.5,"8.96e-02","0.3 to 1.1"
"age.cat>=65",1.3,"3.50e-01","0.8 to 2.2"
"gendermale",1.9,"1.88e-02","1.1 to 3.3"
"tnm_stageII",1.1,"6.76e-01","0.6 to 2"
"tnm_stageIII",1.5,"1.62e-01","0.8 to 2.7"
"tnm_stageIV",1.2,"7.97e-01","0.3 to 5.3"
"TMB.cathigh",1,"9.76e-01","0.6 to 1.6"
"PDL1.catmed",0.7,"3.32e-01","0.4 to 1.3"
"PDL1.cathigh",1,"9.46e-01","0.5 to 1.9"
"cyt.bool1",0.4,"2.79e-02","0.2 to 0.9"
"age.cat>=65",1.3,"4.40e-01","0.6 to 2.9"
"gendermale",2.6,"4.21e-02","1 to 6.6"
"tnm_stageII",1.3,"5.97e-01","0.5 to 3"
"tnm_stageIII",2.8,"2.26e-02","1.2 to 6.6"
"tnm_stageIV",NA," NA","NA to NA"
"TMB.cathigh",1.4,"3.66e-01","0.7 to 2.7"
"PDL1.catmed",0.6,"3.02e-01","0.2 to 1.5"
"PDL1.cathigh",1.8,"2.53e-01","0.7 to 4.7"
"TMB.cathigh",0.9,"7.37e-01","0.6 to 1.4"
"age.cat>=65",1.3,"3.50e-01","0.8 to 2.1"
"gendermale",1.7,"4.97e-02","1 to 2.9"
"tnm_stageII",1.1,"6.40e-01","0.6 to 2.1"
"tnm_stageIII",1.5,"1.81e-01","0.8 to 2.7"
"tnm_stageIV",1.6,"5.44e-01","0.4 to 6.7"
"PDL1.catmed",0.8,"3.33e-01","0.4 to 1.3"
"PDL1.cathigh",0.9,"8.42e-01","0.5 to 1.7"
"PDL1.catmed",0.8,"3.33e-01","0.4 to 1.3"
"PDL1.cathigh",0.9,"8.42e-01","0.5 to 1.7"
"age.cat>=65",1.3,"3.50e-01","0.8 to 2.1"
"gendermale",1.7,"4.97e-02","1 to 2.9"
"tnm_stageII",1.1,"6.40e-01","0.6 to 2.1"
"tnm_stageIII",1.5,"1.81e-01","0.8 to 2.7"
"tnm_stageIV",1.6,"5.44e-01","0.4 to 6.7"
"TMB.cathigh",0.9,"7.37e-01","0.6 to 1.4"
"nmdptc_mut.bool1",0.6,"3.52e-01","0.2 to 1.8"
"age.cat>=65",1.4,"2.49e-01","0.8 to 2.4"
"gendermale",1.7,"5.88e-02","1 to 2.9"
"tnm_stageII",1.2,"5.74e-01","0.7 to 2.1"
"tnm_stageIII",1.6,"1.40e-01","0.9 to 2.8"
"tnm_stageIV",1.6,"5.41e-01","0.4 to 6.7"
"TMB.cathigh",1,"8.56e-01","0.6 to 1.5"
"PDL1.catmed",0.8,"4.19e-01","0.4 to 1.4"
"PDL1.cathigh",1,"9.77e-01","0.5 to 1.8"
"nmdfs_mut.bool1",0.8,"2.58e-01","0.5 to 1.2"
"age.cat>=65",1.3,"3.30e-01","0.8 to 2.1"
"gendermale",1.8,"4.04e-02","1 to 3"
"tnm_stageII",1.2,"5.55e-01","0.7 to 2.1"
"tnm_stageIII",1.5,"1.66e-01","0.8 to 2.7"
"tnm_stageIV",1.6,"5.33e-01","0.4 to 6.8"
"TMB.cathigh",1,"9.30e-01","0.6 to 1.5"
"PDL1.catmed",0.7,"2.76e-01","0.4 to 1.3"
"PDL1.cathigh",0.9,"8.23e-01","0.5 to 1.7"
"nmdns_mut.bool1",0.5,"2.16e-01","0.2 to 1.5"
"age.cat>=65",1.4,"2.19e-01","0.8 to 2.4"
"gendermale",1.7,"5.87e-02","1 to 2.9"
"tnm_stageII",1.2,"5.42e-01","0.7 to 2.2"
"tnm_stageIII",1.6,"1.24e-01","0.9 to 2.9"
"tnm_stageIV",1.6,"5.30e-01","0.4 to 6.8"
"TMB.cathigh",1,"9.15e-01","0.6 to 1.5"
"PDL1.catmed",0.8,"4.10e-01","0.4 to 1.4"
"PDL1.cathigh",1,"9.95e-01","0.5 to 1.9"
"silent",1,"2.27e-01","1 to 1"
"age.cat>=65",1.3,"3.72e-01","0.8 to 2.1"
"gendermale",1.8,"3.65e-02","1 to 3"
"tnm_stageII",1.1,"7.33e-01","0.6 to 2"
"tnm_stageIII",1.5,"2.08e-01","0.8 to 2.6"
"tnm_stageIV",1.4,"6.78e-01","0.3 to 5.9"
"TMB.cathigh",1.2,"5.59e-01","0.7 to 2"
"PDL1.catmed",0.8,"4.80e-01","0.5 to 1.4"
"PDL1.cathigh",1,"8.77e-01","0.5 to 1.8"
"missense",1,"1.55e-01","1 to 1"
"age.cat>=65",1.2,"4.09e-01","0.7 to 2.1"
"gendermale",1.8,"3.91e-02","1 to 3"
"tnm_stageII",1.1,"7.59e-01","0.6 to 2"
"tnm_stageIII",1.5,"1.99e-01","0.8 to 2.6"
"tnm_stageIV",1.4,"6.72e-01","0.3 to 5.9"
"TMB.cathigh",1.3,"3.98e-01","0.7 to 2.4"
"PDL1.catmed",0.8,"4.80e-01","0.5 to 1.4"
"PDL1.cathigh",0.9,"8.46e-01","0.5 to 1.7"
"nonstop",1.2,"5.22e-01","0.7 to 1.8"
"age.cat>=65",1.3,"3.27e-01","0.8 to 2.2"
"gendermale",1.7,"4.62e-02","1 to 3"
