cytoband	9p21.3	10q23.31	11p15.1	1p36.23	6q26	10q26.3	4q34.3	19q13.41	13q14.2	1p32.3	2q37.1	22q13.32	15q14	5q34	14q13.1	11p15.5	3q29	13q22.1	14q24.2	8p23.2	1p36.32	12q12	17q11.2	17p13.1	3p21.31	3q13.31	19q13.43	12p13.1	2q22.1	5p15.33	18q23	6q22.31	16p12.2	10p15.3	Xq21.1	1q42.11	1q44	10p13	8q24.3	16q23.1	11p11.2	1p22.1	14q31.3	12q15	6p25.3	
q value	0	3.5011e-65	3.2059e-49	2.8133e-59	1.1187e-34	3.8214e-42	2.4436e-25	1.7885e-35	1.7867e-30	2.2461e-20	5.8558e-14	6.3081e-11	1.3527e-10	8.5822e-10	1.4385e-10	2.673e-13	1.5626e-09	1.9552e-16	1.0951e-16	1.038e-05	2.7779e-35	1.3585e-07	2.8056e-05	9.4379e-05	0.00016309	3.4893e-05	6.9341e-31	0.00043096	0.0017068	0.0041237	0.0043619	4.8365e-08	0.03549	0.0041397	0.046153	0.0013326	0.0030753	0.023139	0.081942	0.092802	0.014706	0.0022649	5.9729e-10	0.002277	0.16831	
residual q value	0	2.8255e-58	3.7874e-38	5.6823e-35	5.2953e-29	1.0861e-28	2.4436e-25	1.2507e-24	5.1266e-20	4.0844e-16	8.5809e-14	5.9424e-11	1.3204e-10	8.5822e-10	3.619e-09	4.1148e-08	1.1445e-07	9.1993e-07	3.8219e-06	1.017e-05	2.0626e-05	2.5305e-05	2.8238e-05	9.4637e-05	0.00015774	0.0002898	0.00030828	0.00043856	0.002111	0.0042285	0.0042815	0.015401	0.03549	0.040277	0.046153	0.046941	0.052248	0.065031	0.081942	0.091922	0.098302	0.10397	0.11807	0.15799	0.16831	
wide peak boundaries	chr9:21141750-23690570	chr10:89617158-89755074	chr11:16623557-16799846	chr1:7908902-8336254	chr6:163736503-164264583	chr10:135190263-135214343	chr4:179280062-182757119	chr19:51323233-53037389	chr13:48875329-49064807	chr1:50879767-51529064	chr2:233547367-233727481	chr22:48026910-51304566	chr15:33485762-47478056	chr5:161581324-166712758	chr14:33297556-34394000	chr11:1-3819266	chr3:190596953-197066709	chr13:67772598-75859094	chr14:69196549-77583215	chr8:2112968-4251283	chr1:3814904-6475685	chr12:42028480-46578647	chr17:29326736-29722618	chr17:7528230-7591760	chr3:47049863-47272884	chr3:115440285-118620828	chr19:55426781-59128983	chr12:12710990-13338025	chr2:140708948-143637838	chr5:1-7048226	chr18:65181982-78077248	chr6:111216911-147834826	chr16:20579968-27090703	chr10:1048399-2048902	chrX:76710176-77102528	chr1:212280115-227085461	chr1:245868364-247355463	chr10:12616863-12768978	chr8:144486368-146364022	chr16:73093053-90354753	chr11:45945772-46626256	chr1:92706523-94028812	chr14:69196549-107349540	chr12:67711731-69082595	chr6:1-13548164	
genes in wide peak	DMRTA1	SNORD74|ENSG00000200891.1	C11orf58	RN7SL729P	RN7SL366P	PAOX	RN7SKP13	MIR643	RB1	MIR4421	KCNJ13	ARSA	FKSG62	RN7SKP60	NPAS3	snoU13|ENSG00000238686.1	snoU13|ENSG00000238491.1	LINC00347	RN7SL356P	RN7SL872P	LINC00337	SCAF11	EVI2A	ATP1B2	snoU13|ENSG00000251938.1	LINC00901	RN7SL525P	HTR7P1	RN7SL283P	RNA5SP176	RBFA	STXBP5	C16orf82	ADARB2	ATRX	RN7SKP165	ZNF670	MIR4480	ZNF252P	FAM157C	MIR4688	RNA5SP53	RNA5SP389	SNORA70G	PHACTR1	
	RN7SL151P	PTEN		TNFRSF9	CAHM		LINC00290	PPP2R1A	LPAR6	CDKN2C	GIGYF2	RN7SL500P	RN7SKP101	NUDCD2		TRPC2	MIR4797	LINC00381	RN7SKP17	RNA5SP251	RPL22	RN7SL246P	EVI2B	TP53	SETD2	TUSC7	RN7SL693P	SNORD88	LRP1B	RN7SKP79	RBFADN	RNA5SP222	RNA5SP405	IDI1		snoU13|ENSG00000239094.1	SNORA25|ENSG00000252011.1	MIR548Q	RN7SL395P	TUBB8P7	PHF21A	DR1	LINC00221	DYRK2	RN7SKP293	
	SNORD39|ENSG00000264379.1	KLLN		PARK7	QKI		SNORD65|ENSG00000212191.1	snoU13|ENSG00000238630.1		FAF1		DENND6B	SNORD11|ENSG00000238819.1	CCNG1		TSSC2	U4|ENSG00000272359.1	RNY1P5	RN7SL747P		KCNAB2	RNA5SP361	NF1	SAT2		RN7SL582P	RNA5SP473	GPRC5A		UBE2QL1	SALL3	FBXO30	MIR548W	WDR37		snoU13|ENSG00000238545.1	SNORD112|ENSG00000252495.1		C8orf82	URAHP	CHRM4	RN7SKP123	LINC00226	IFNG	SNORA67|ENSG00000207419.1	
	MIR31HG			ERRFI1			RNA5SP173	HCCAT3		DMRTA2		TTLL8	SNORA41|ENSG00000207516.1	HMMR		SNORA54	RN7SL738P	LINC00402	TGFB3		ACOT7	SNORA74|ENSG00000252917.1	OMG			LINC00903	RN7SL526P	MIR613		RN7SKP73	RNA5SP461	STX11	RN7SL557P	IDI2		MIR4742	ZNF124		MIR1234	TUBB3	MDK	RN7SL692P	ADAM6	RAP1B	snoU13|ENSG00000238896.1	
	IFNA6							FPR1				ALG12	HMGN2P46	MAT2B		SLC22A18AS	RN7SL434P	LINC00392	C14orf1		ICMT	RN7SL10P	MIR4733			RN7SL815P	ZNF417	CDKN1B		NDUFS6	SNORA25|ENSG00000199392.1	PEX3	SNORA1|ENSG00000201541.1	LINC00200		snoU13|ENSG00000238856.1	AHCTF1		MIR939	SNORD68	DGKZ	SNORA51|ENSG00000207022.1	KIAA0125	IL22	RNA5SP203	
	KLHL9							snoU13|ENSG00000238486.1				RN7SKP252	snoU13|ENSG00000238583.1			KCNQ1OT1	UBXN7	LINC00393	RNA5SP387		CHD5	RNA5SP360				LSAMP	ZNF814	CREBL2		SDHAP3	GALR1	RNA5SP221	DCTN5			MIR320B2	SCCPDH		TMEM249	SLC22A31	AMBRA1	SNORA66|ENSG00000207523.1	IGHJ1	IL26	C6orf52	
	CDKN2A							SIGLEC5				ACR	SLC30A4			RPL26P30	SDHAP1	RNY1P8	RNU4ATAC14P		AJAP1	NELL2				MIR4447	ZNF134	GPR19		MIR4635	LINC00683	ADAT2	SNORA75|ENSG00000212593.1			SNORA72|ENSG00000201898.1	ZNF695		DGAT1	MIR4722	CREB3L1	SNORA66|ENSG00000251795.1	IGHJ2	MDM1	GCNT6	
