"strata","n","n_event","medsurv","medsurv_ci95","survprobObs_0.5yr","survprobObs_1yr","survprobObs_2yr","survprobObs_5yr"
"silent.cat=high",61,4,NA,"NA to NA","0.98 (0.95 to 1)","0.98 (0.95 to 1)","0.94 (0.88 to 1)","0.92 (0.84 to 1)"
"silent.cat=low",63,11,9.2,"9.2 to NA","1.00 (1 to 1)","0.97 (0.92 to 1)","0.95 (0.89 to 1)","0.79 (0.67 to 0.94)"
"silent.cat=med",117,17,NA,"NA to NA","0.99 (0.97 to 1)","0.97 (0.94 to 1)","0.91 (0.85 to 0.97)","0.81 (0.73 to 0.91)"
"missense.cat=high",61,3,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.96 (0.9 to 1)","0.94 (0.87 to 1)"
"missense.cat=low",65,10,9.4,"9.4 to NA","1.00 (1 to 1)","0.98 (0.95 to 1)","0.96 (0.92 to 1)","0.80 (0.68 to 0.94)"
"missense.cat=med",115,19,9.2,"9.2 to NA","0.98 (0.96 to 1)","0.95 (0.91 to 0.99)","0.88 (0.82 to 0.95)","0.80 (0.71 to 0.9)"
"nonsense.cat=high",62,5,NA,"NA to NA","0.98 (0.95 to 1)","0.98 (0.95 to 1)","0.92 (0.85 to 1)","0.90 (0.82 to 0.99)"
"nonsense.cat=low",64,13,9.4,"6.4 to NA","1.00 (1 to 1)","0.97 (0.92 to 1)","0.93 (0.87 to 1)","0.77 (0.65 to 0.91)"
"nonsense.cat=med",115,14,NA,"9.2 to NA","0.99 (0.97 to 1)","0.97 (0.94 to 1)","0.92 (0.87 to 0.98)","0.84 (0.75 to 0.93)"
"frameshift.cat=high",67,6,NA,"NA to NA","0.98 (0.96 to 1)","0.98 (0.96 to 1)","0.93 (0.86 to 1)","0.88 (0.79 to 0.98)"
"frameshift.cat=low",92,16,9.2,"9.2 to NA","1.00 (1 to 1)","0.99 (0.97 to 1)","0.93 (0.88 to 0.99)","0.78 (0.67 to 0.9)"
"frameshift.cat=med",82,10,NA,"NA to NA","0.99 (0.96 to 1)","0.95 (0.9 to 1)","0.92 (0.85 to 0.98)","0.86 (0.77 to 0.96)"
"total.cat=high",61,3,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.96 (0.9 to 1)","0.94 (0.87 to 1)"
"total.cat=low",62,10,9.4,"9.4 to NA","1.00 (1 to 1)","0.98 (0.95 to 1)","0.94 (0.88 to 1)","0.80 (0.67 to 0.94)"
"total.cat=med",118,19,9.2,"9.2 to NA","0.98 (0.96 to 1)","0.95 (0.91 to 0.99)","0.90 (0.84 to 0.96)","0.80 (0.71 to 0.9)"
"GZMA.cat=high",61,3,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.98 (0.94 to 1)","0.93 (0.85 to 1)"
"GZMA.cat=low",61,12,NA,"NA to NA","1.00 (1 to 1)","0.93 (0.87 to 1)","0.85 (0.76 to 0.95)","0.76 (0.63 to 0.91)"
"GZMA.cat=med",119,17,9.4,"9.2 to NA","0.98 (0.96 to 1)","0.98 (0.96 to 1)","0.94 (0.89 to 0.99)","0.82 (0.74 to 0.92)"
"PRF1.cat=high",61,7,NA,"NA to NA","0.98 (0.95 to 1)","0.98 (0.95 to 1)","0.96 (0.91 to 1)","0.80 (0.67 to 0.95)"
"PRF1.cat=low",61,12,9.2,"9.2 to NA","1.00 (1 to 1)","0.98 (0.95 to 1)","0.90 (0.82 to 0.99)","0.79 (0.67 to 0.93)"
"PRF1.cat=med",119,13,NA,"9.4 to NA","0.99 (0.97 to 1)","0.96 (0.93 to 1)","0.92 (0.87 to 0.98)","0.88 (0.81 to 0.95)"
"cyt.cat=high",61,6,NA,"NA to NA","0.98 (0.95 to 1)","0.98 (0.95 to 1)","0.96 (0.91 to 1)","0.85 (0.75 to 0.97)"
"cyt.cat=low",61,13,9.2,"9.2 to NA","1.00 (1 to 1)","0.97 (0.92 to 1)","0.89 (0.81 to 0.98)","0.75 (0.63 to 0.9)"
"cyt.cat=med",119,13,NA,"9.4 to NA","0.99 (0.97 to 1)","0.97 (0.94 to 1)","0.93 (0.88 to 0.98)","0.87 (0.8 to 0.96)"
"nmdptc_max.cat=high",61,12,NA,"NA to NA","0.97 (0.92 to 1)","0.97 (0.92 to 1)","0.86 (0.78 to 0.96)","0.76 (0.64 to 0.9)"
"nmdptc_max.cat=low",61,7,9.4,"9.2 to NA","1.00 (1 to 1)","0.98 (0.95 to 1)","0.96 (0.91 to 1)","0.84 (0.7 to 0.99)"
"nmdptc_max.cat=med",119,13,NA,"NA to NA","1.00 (1 to 1)","0.97 (0.94 to 1)","0.94 (0.89 to 0.99)","0.87 (0.8 to 0.95)"
"nmdptc_n_decayed.cat=high",65,9,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.92 (0.85 to 1)","0.83 (0.72 to 0.94)"
"nmdptc_n_decayed.cat=low",85,10,9.4,"9.2 to NA","1.00 (1 to 1)","0.97 (0.94 to 1)","0.95 (0.89 to 1)","0.84 (0.73 to 0.96)"
"nmdptc_n_decayed.cat=med",91,13,NA,"NA to NA","0.98 (0.95 to 1)","0.95 (0.91 to 1)","0.91 (0.85 to 0.98)","0.83 (0.75 to 0.93)"
"nmdptc_frac_decayed.cat=high",63,15,9.4,"6.4 to NA","0.98 (0.95 to 1)","0.95 (0.9 to 1)","0.91 (0.84 to 0.99)","0.75 (0.63 to 0.89)"
"nmdptc_frac_decayed.cat=low",61,5,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.96 (0.9 to 1)","0.85 (0.72 to 0.99)"
"nmdptc_frac_decayed.cat=med",117,12,NA,"9.2 to NA","0.99 (0.97 to 1)","0.97 (0.94 to 1)","0.92 (0.86 to 0.97)","0.89 (0.82 to 0.96)"
"nmdptc_med.cat=high",61,12,NA,"NA to NA","0.97 (0.92 to 1)","0.95 (0.89 to 1)","0.91 (0.84 to 0.99)","0.79 (0.68 to 0.92)"
"nmdptc_med.cat=low",61,6,NA,"NA to NA","1.00 (1 to 1)","0.98 (0.95 to 1)","0.94 (0.87 to 1)","0.82 (0.69 to 0.97)"
"nmdptc_med.cat=med",119,14,9.4,"9.2 to NA","1.00 (1 to 1)","0.98 (0.96 to 1)","0.93 (0.87 to 0.98)","0.87 (0.79 to 0.95)"
"nmdptc_med.wt.cat=high",61,14,9.4,"6.4 to NA","0.97 (0.92 to 1)","0.93 (0.87 to 1)","0.89 (0.81 to 0.98)","0.76 (0.63 to 0.9)"
"nmdptc_med.wt.cat=low",61,7,9.2,"9.2 to NA","1.00 (1 to 1)","0.98 (0.95 to 1)","0.94 (0.88 to 1)","0.83 (0.71 to 0.98)"
"nmdptc_med.wt.cat=med",119,11,NA,"NA to NA","1.00 (1 to 1)","0.99 (0.97 to 1)","0.94 (0.89 to 0.99)","0.88 (0.81 to 0.95)"
"nmdptc_mean.cat=high",61,15,NA,"6.4 to NA","0.97 (0.92 to 1)","0.95 (0.9 to 1)","0.88 (0.79 to 0.97)","0.73 (0.61 to 0.87)"
"nmdptc_mean.cat=low",61,5,NA,"9.2 to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.98 (0.93 to 1)","0.86 (0.73 to 1)"
"nmdptc_mean.cat=med",119,12,NA,"9.4 to NA","1.00 (1 to 1)","0.97 (0.94 to 1)","0.93 (0.88 to 0.98)","0.89 (0.82 to 0.96)"
"nmdptc_mean.wt.cat=high",61,15,9.4,"6.4 to NA","0.98 (0.95 to 1)","0.95 (0.89 to 1)","0.89 (0.81 to 0.98)","0.72 (0.59 to 0.88)"
"nmdptc_mean.wt.cat=low",61,5,NA,"9.2 to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.98 (0.94 to 1)","0.88 (0.76 to 1)"
"nmdptc_mean.wt.cat=med",119,12,NA,"NA to NA","0.99 (0.97 to 1)","0.97 (0.94 to 1)","0.92 (0.86 to 0.97)","0.88 (0.81 to 0.95)"
"nmdfs_max.cat=high",61,13,NA,"NA to NA","0.98 (0.95 to 1)","0.97 (0.92 to 1)","0.87 (0.78 to 0.96)","0.75 (0.63 to 0.89)"
"nmdfs_max.cat=low",61,6,9.4,"9.4 to NA","1.00 (1 to 1)","0.98 (0.95 to 1)","0.98 (0.95 to 1)","0.85 (0.73 to 0.99)"
"nmdfs_max.cat=med",119,13,9.2,"9.2 to NA","0.99 (0.97 to 1)","0.97 (0.94 to 1)","0.93 (0.88 to 0.98)","0.88 (0.81 to 0.96)"
"nmdfs_n_decayed.cat=high",66,12,NA,"NA to NA","1.00 (1 to 1)","0.98 (0.95 to 1)","0.87 (0.78 to 0.97)","0.78 (0.67 to 0.91)"
