"strata","n","n_event","medsurv","medsurv_ci95","survprobObs_0.5yr","survprobObs_1yr","survprobObs_2yr","survprobObs_5yr"
"silent.cat=high",113,7,NA,"NA to NA","0.99 (0.97 to 1)","0.98 (0.96 to 1)","0.98 (0.96 to 1)","0.86 (0.74 to 0.99)"
"silent.cat=low",142,3,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.99 (0.97 to 1)","0.98 (0.95 to 1)"
"silent.cat=med",145,4,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","0.92 (0.85 to 1)"
"missense.cat=high",106,6,NA,"NA to NA","1.00 (1 to 1)","0.99 (0.97 to 1)","0.99 (0.97 to 1)","0.82 (0.68 to 0.99)"
"missense.cat=low",110,3,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","0.94 (0.86 to 1)"
"missense.cat=med",184,5,NA,"NA to NA","0.99 (0.98 to 1)","0.99 (0.98 to 1)","0.99 (0.97 to 1)","0.96 (0.92 to 1)"
"nonsense.cat=high",176,9,NA,"NA to NA","1.00 (1 to 1)","0.99 (0.98 to 1)","0.99 (0.98 to 1)","0.87 (0.78 to 0.97)"
"nonsense.cat=low",224,5,NA,"NA to NA","1.00 (0.99 to 1)","1.00 (0.99 to 1)","0.99 (0.98 to 1)","0.97 (0.94 to 1)"
"frameshift.cat=high",186,10,NA,"NA to NA","0.99 (0.98 to 1)","0.99 (0.98 to 1)","0.99 (0.97 to 1)","0.88 (0.8 to 0.96)"
"frameshift.cat=low",214,4,NA,"NA to NA","1.00 (1 to 1)","1.00 (0.99 to 1)","1.00 (0.99 to 1)","0.98 (0.95 to 1)"
"total.cat=high",105,7,NA,"NA to NA","0.99 (0.97 to 1)","0.98 (0.95 to 1)","0.98 (0.95 to 1)","0.82 (0.69 to 0.98)"
"total.cat=low",107,2,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","0.98 (0.94 to 1)"
"total.cat=med",188,5,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.99 (0.98 to 1)","0.94 (0.89 to 1)"
"GZMA.cat=high",100,2,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","0.96 (0.89 to 1)"
"GZMA.cat=low",100,3,NA,"NA to NA","0.99 (0.97 to 1)","0.99 (0.97 to 1)","0.99 (0.97 to 1)","0.93 (0.85 to 1)"
"GZMA.cat=med",200,9,NA,"NA to NA","1.00 (1 to 1)","0.99 (0.98 to 1)","0.99 (0.97 to 1)","0.91 (0.84 to 0.98)"
"PRF1.cat=high",100,3,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","0.94 (0.86 to 1)"
"PRF1.cat=low",100,4,NA,"NA to NA","0.99 (0.97 to 1)","0.99 (0.97 to 1)","0.99 (0.97 to 1)","0.87 (0.75 to 1)"
"PRF1.cat=med",200,7,NA,"NA to NA","1.00 (1 to 1)","0.99 (0.98 to 1)","0.99 (0.97 to 1)","0.94 (0.89 to 0.99)"
"cyt.cat=high",100,3,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","0.94 (0.86 to 1)"
"cyt.cat=low",100,5,NA,"NA to NA","0.99 (0.97 to 1)","0.99 (0.97 to 1)","0.99 (0.97 to 1)","0.85 (0.73 to 0.99)"
"cyt.cat=med",200,6,NA,"NA to NA","1.00 (1 to 1)","0.99 (0.98 to 1)","0.99 (0.97 to 1)","0.95 (0.91 to 1)"
"nmdptc_max.cat=high",100,1,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","0.98 (0.95 to 1)"
"nmdptc_max.cat=low",100,5,NA,"NA to NA","0.99 (0.97 to 1)","0.99 (0.97 to 1)","0.99 (0.97 to 1)","0.90 (0.8 to 1)"
"nmdptc_max.cat=med",200,8,NA,"NA to NA","1.00 (1 to 1)","0.99 (0.98 to 1)","0.99 (0.97 to 1)","0.91 (0.84 to 0.98)"
"nmdptc_n_decayed.cat=high",100,1,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","0.98 (0.95 to 1)"
"nmdptc_n_decayed.cat=low",201,10,NA,"NA to NA","0.99 (0.98 to 1)","0.99 (0.98 to 1)","0.99 (0.98 to 1)","0.91 (0.85 to 0.98)"
"nmdptc_n_decayed.cat=med",99,3,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.99 (0.96 to 1)","0.88 (0.75 to 1)"
"nmdptc_frac_decayed.cat=high",179,6,NA,"NA to NA","1.00 (1 to 1)","0.99 (0.98 to 1)","0.99 (0.97 to 1)","0.92 (0.86 to 0.99)"
"nmdptc_frac_decayed.cat=low",100,7,NA,"8.1 to NA","0.99 (0.97 to 1)","0.99 (0.97 to 1)","0.99 (0.97 to 1)","0.87 (0.75 to 1)"
"nmdptc_frac_decayed.cat=med",121,1,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","0.98 (0.95 to 1)"
"nmdptc_med.cat=high",100,2,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","0.96 (0.9 to 1)"
"nmdptc_med.cat=low",100,6,NA,"NA to NA","0.99 (0.97 to 1)","0.99 (0.97 to 1)","0.99 (0.97 to 1)","0.92 (0.83 to 1)"
"nmdptc_med.cat=med",200,6,NA,"NA to NA","1.00 (1 to 1)","0.99 (0.98 to 1)","0.99 (0.97 to 1)","0.92 (0.85 to 0.99)"
"nmdptc_med.wt.cat=high",100,2,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","0.96 (0.9 to 1)"
"nmdptc_med.wt.cat=low",100,7,NA,"NA to NA","0.99 (0.97 to 1)","0.99 (0.97 to 1)","0.99 (0.97 to 1)","0.88 (0.77 to 1)"
"nmdptc_med.wt.cat=med",200,5,NA,"NA to NA","1.00 (1 to 1)","0.99 (0.98 to 1)","0.99 (0.97 to 1)","0.93 (0.87 to 1)"
"nmdptc_mean.cat=high",100,2,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","0.95 (0.89 to 1)"
"nmdptc_mean.cat=low",100,6,NA,"NA to NA","0.99 (0.97 to 1)","0.99 (0.97 to 1)","0.99 (0.97 to 1)","0.92 (0.84 to 1)"
"nmdptc_mean.cat=med",200,6,NA,"NA to NA","1.00 (1 to 1)","0.99 (0.98 to 1)","0.99 (0.97 to 1)","0.91 (0.84 to 0.99)"
"nmdptc_mean.wt.cat=high",100,2,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","0.96 (0.9 to 1)"
"nmdptc_mean.wt.cat=low",100,7,NA,"NA to NA","0.99 (0.97 to 1)","0.99 (0.97 to 1)","0.99 (0.97 to 1)","0.88 (0.78 to 1)"
"nmdptc_mean.wt.cat=med",200,5,NA,"NA to NA","1.00 (1 to 1)","0.99 (0.98 to 1)","0.99 (0.97 to 1)","0.93 (0.87 to 1)"
"nmdfs_max.cat=high",152,4,NA,"NA to NA","1.00 (1 to 1)","0.99 (0.98 to 1)","0.99 (0.98 to 1)","0.97 (0.93 to 1)"
"nmdfs_max.cat=low",100,6,NA,"NA to NA","0.99 (0.97 to 1)","0.99 (0.97 to 1)","0.99 (0.97 to 1)","0.89 (0.79 to 1)"
"nmdfs_max.cat=med",148,4,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.99 (0.97 to 1)","0.91 (0.83 to 1)"
"nmdfs_n_decayed.cat=high",150,4,NA,"NA to NA","1.00 (1 to 1)","0.99 (0.98 to 1)","0.99 (0.98 to 1)","0.97 (0.93 to 1)"
"nmdfs_n_decayed.cat=low",164,9,NA,"NA to NA","0.99 (0.98 to 1)","0.99 (0.98 to 1)","0.99 (0.98 to 1)","0.87 (0.78 to 0.97)"
"nmdfs_n_decayed.cat=med",86,1,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.98 (0.95 to 1)","0.98 (0.95 to 1)"
"nmdfs_frac_decayed.cat=high",232,8,NA,"NA to NA","1.00 (1 to 1)","1.00 (0.99 to 1)","0.99 (0.98 to 1)","0.93 (0.87 to 0.99)"
"nmdfs_frac_decayed.cat=low",100,6,NA,"NA to NA","0.99 (0.97 to 1)","0.99 (0.97 to 1)","0.99 (0.97 to 1)","0.88 (0.78 to 1)"
"nmdfs_frac_decayed.cat=med",68,0,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)"
"nmdfs_med.cat=high",150,5,NA,"NA to NA","1.00 (1 to 1)","0.99 (0.98 to 1)","0.99 (0.98 to 1)","0.95 (0.89 to 1)"
"nmdfs_med.cat=low",100,6,NA,"NA to NA","0.99 (0.97 to 1)","0.99 (0.97 to 1)","0.99 (0.97 to 1)","0.88 (0.78 to 1)"
"nmdfs_med.cat=med",150,3,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.99 (0.97 to 1)","0.93 (0.86 to 1)"
"nmdfs_med.wt.cat=high",150,5,NA,"NA to NA","1.00 (1 to 1)","0.99 (0.98 to 1)","0.99 (0.98 to 1)","0.95 (0.89 to 1)"
"nmdfs_med.wt.cat=low",100,6,NA,"NA to NA","0.99 (0.97 to 1)","0.99 (0.97 to 1)","0.99 (0.97 to 1)","0.88 (0.78 to 1)"
"nmdfs_med.wt.cat=med",150,3,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.99 (0.97 to 1)","0.93 (0.86 to 1)"
"nmdfs_mean.cat=high",150,5,NA,"NA to NA","1.00 (1 to 1)","0.99 (0.98 to 1)","0.99 (0.98 to 1)","0.95 (0.89 to 1)"
"nmdfs_mean.cat=low",100,5,NA,"NA to NA","0.99 (0.97 to 1)","0.99 (0.97 to 1)","0.99 (0.97 to 1)","0.91 (0.83 to 1)"
